Gene,GeneStableID,MGI_ID,UniProtID,GeneName,Category1,Subcategory,Comments,UniProt_function,PANTHER_ProteinClass,GO_CellularComponent,GO_MolecularFunction,KEGG_CytoChemoReceptor,TFdb_TranscrFact,PRRs_and_Effectors
Rnase6,ENSMUSG00000021880,1925666,Q9D244,Ribonuclease K6,Effector,AMP,,"Ribonuclease which shows a preference for the pyrimidines uridine and cytosine (PubMed:8836175, PubMed:27013146). Has potent antibacterial activity against a range of Gram-positive and Gram-negative bacteria, including P.aeruginosa, A.baumanii, M.luteus, S.aureus, E.faecalis, E.faecium, S.saprophyticus and E.coli (PubMed:25075772, PubMed:27089320). Causes loss of bacterial membrane integrity, and also promotes agglutination of Gram-negative bacteria (PubMed:27089320). Probably contributes to urinary tract sterility (PubMed:25075772). Bactericidal activity is independent of RNase activity (PubMed:27089320).",endoribonuclease(PC00094),"extracellular space,cytoplasmic vesicle","nucleic acid binding,hydrolase activity,nuclease activity,endonuclease activity,ribonuclease activity",NA,NA,AMP
Apobec3,ENSMUSG00000009585,1933111,Q99J72,DNA dC-dU-editing enzyme APOBEC-3,Effector,RestrFact,,DNA deaminase (cytidine deaminase) which acts as an inhibitor of retrovirus replication and retrotransposon mobility via deaminase-dependent and -independent mechanisms. Selectively targets single-stranded DNA and does not deaminate double-stranded DNA or single- or double-stranded RNA.,RNA processing factor(PC00147),"nucleus,ribonucleoprotein complex,cytoplasm,P-body,nucleoplasm","zinc ion binding,catalytic activity,hydrolase activity,RNA binding,metal ion binding,protein binding,identical protein binding,cytidine deaminase activity,deoxycytidine deaminase activity",NA,NA,RestrFact
Bst2,ENSMUSG00000046718,1916800,Q8R2Q8,Bone marrow stromal antigen 2,Effector,RestrFact,,"IFN-induced antiviral host restriction factor which efficiently blocks the release of diverse mammalian enveloped viruses by directly tethering nascent virions to the membranes of infected cells. Acts as a direct physical tether, holding virions to the cell membrane and linking virions to each other. The tethered virions can be internalized by endocytosis and subsequently degraded or they can remain on the cell surface. In either case, their spread as cell-free virions is restricted.",NA,"cytoplasm,membrane,Golgi apparatus,plasma membrane,cell surface,intracellular membrane-bounded organelle,membrane raft,apical plasma membrane,endosome,late endosome,multivesicular body","identical protein binding,protein homodimerization activity,metalloendopeptidase inhibitor activity",NA,NA,RestrFact
Fv1,ENSMUSG00000070583,95595,P70213,Friend virus susceptibility protein 1,Effector,RestrFact,,"Retroviral restriction factor that prevents infection by gammaretroviruses. Acts by interacting with the capsid protein ca after entry of the virus into the cell. This interaction presumably disrupt the capsid thereby inactivating the viral genome, making it unable to enter host nucleus and integrate into host genome.",NA,Golgi apparatus,NA,NA,NA,RestrFact
Ifit1,ENSMUSG00000034459,99450,Q64282,Interferon-induced protein with tetratricopeptide repeats 1,Effector,RestrFact,,"Interferon-induced antiviral RNA-binding protein that specifically binds single-stranded RNA bearing a 5'-triphosphate group (PPP-RNA), thereby acting as a sensor of viral single-stranded RNAs and inhibiting expression of viral messenger RNAs. Single-stranded PPP-RNAs, which lack 2'-O-methylation of the 5' cap and bear a 5'-triphosphate group instead, are specific from viruses, providing a molecular signature to distinguish between self and non-self mRNAs by the host during viral infection. Directly binds PPP-RNA in a non-sequence-specific manner. Viruses evolved several ways to evade this restriction system such as encoding their own 2'-O-methylase for their mRNAs or by stealing host cap containing the 2'-O-methylation (cap snatching mechanism).",defense/immunity protein(PC00090),"cytosol,cytoplasm","protein binding,RNA binding",NA,NA,RestrFact
Ifit2,ENSMUSG00000045932,99449,Q64112,Interferon-induced protein with tetratricopeptide repeats 2,Effector,RestrFact,,"IFN-induced antiviral protein which inhibits expression of viral messenger RNAs lacking 2'-O-methylation of the 5' cap. The ribose 2'-O-methylation would provide a molecular signature to distinguish between self and non-self mRNAs by the host during viral infection. Viruses evolved several ways to evade this restriction system such as encoding their own 2'-O-methylase for their mRNAs or by stealing host cap containing the 2'-O-methylation (cap snatching mechanism). Binds AU-rich viral RNAs, with or without 5' triphosphorylation, RNA-binding is required for antiviral activity. Can promote apoptosis.",defense/immunity protein(PC00090),"cytoplasm,endoplasmic reticulum",protein binding,NA,NA,RestrFact
Ifit3,ENSMUSG00000074896,1101055,Q64345,Interferon-induced protein with tetratricopeptide repeats 3,Effector,RestrFact,,"IFN-induced antiviral protein which acts as an inhibitor of cellular as well as viral processes, cell migration, proliferation, signaling, and viral replication. Enhances MAVS-mediated host antiviral responses by serving as an adapter bridging TBK1 to MAVS which leads to the activation of TBK1 and phosphorylation of IRF3 and phosphorylated IRF3 translocates into nucleus to promote antiviral gene transcription. Exhibits an antiproliferative activity via the up-regulation of cell cycle negative regulators CDKN1A/p21 and CDKN1B/p27. Normally, CDKN1B/p27 turnover is regulated by COPS5, which binds CDKN1B/p27 in the nucleus and exports it to the cytoplasm for ubiquitin-dependent degradation. IFIT3 sequesters COPS5 in the cytoplasm, thereby increasing nuclear CDKN1B/p27 protein levels. Up-regulates CDKN1A/p21 by down-regulating MYC, a repressor of CDKN1A/p21. Can negatively regulate the apoptotic effects of IFIT2 (By similarity).",defense/immunity protein(PC00090),"mitochondrion,cytosol,cytoplasm","protein binding,RNA binding,identical protein binding",NA,NA,RestrFact
Ifitm1,ENSMUSG00000025491,1915963,Q9D103,Interferon-induced transmembrane protein 1,Effector,RestrFact,,"IFN-induced antiviral protein which inhibits the entry of viruses to the host cell cytoplasm, permitting endocytosis, but preventing subsequent viral fusion and release of viral contents into the cytosol. Active against multiple viruses, including influenza A virus, SARS coronavirus (SARS-CoV), Marburg virus (MARV), Ebola virus (EBOV), Dengue virus (DNV) and West Nile virus (WNV).",defense/immunity protein(PC00090),"integral component of membrane,membrane,plasma membrane,protein-containing complex,lysosome,lysosomal membrane,early endosome",molecular_function,NA,NA,RestrFact
Ifitm2,ENSMUSG00000060591,1933382,Q99J93,Interferon-induced transmembrane protein 2,Effector,RestrFact,,"IFN-induced antiviral protein which inhibits the entry of viruses to the host cell cytoplasm, permitting endocytosis, but preventing subsequent viral fusion and release of viral contents into the cytosol. Active against multiple viruses, including influenza A virus, SARS coronavirus (SARS-CoV), Marburg virus (MARV) and Ebola virus (EBOV), Dengue virus (DNV) and West Nile virus (WNV).",defense/immunity protein(PC00090),"integral component of membrane,nucleoplasm,membrane,plasma membrane,protein-containing complex,lysosome,cell junction,early endosome membrane,endosome,lysosomal membrane,late endosome membrane",molecular_function,NA,NA,RestrFact
Ifitm6,ENSMUSG00000059108,2686976,A0A1B0GS75,Interferon-induced transmembrane protein 6,Effector,RestrFact,,no info,defense/immunity protein(PC00090),"integral component of membrane,membrane,plasma membrane",molecular_function,NA,NA,RestrFact
