Gene,GeneStableID,MGI_ID,UniProtID,GeneName,Category1,Subcategory,Comments,UniProt_function,PANTHER_ProteinClass,GO_CellularComponent,GO_MolecularFunction,KEGG_CytoChemoReceptor,TFdb_TranscrFact,PRRs_and_Effectors
Ackr2,ENSMUSG00000044534,1891697,O08707,Atypical chemokine receptor 2,CytoChemoRecept,CCRecept,,"Atypical chemokine receptor that controls chemokine levels and localization via high-affinity chemokine binding that is uncoupled from classic ligand-driven signal transduction cascades, resulting instead in chemokine sequestration, degradation, or transcytosis. Also known as interceptor (internalizing receptor) or chemokine-scavenging receptor or chemokine decoy receptor. Acts as a receptor for chemokines including CCL2, CCL3, CCL3L1, CCL4, CCL5, CCL7, CCL8, CCL11, CCL13, CCL17, CCL22, CCL23, CCL24, SCYA2/MCP-1, SCY3/MIP-1-alpha, SCYA5/RANTES and SCYA7/MCP-3. Upon active ligand stimulation, activates a beta-arrestin 1 (ARRB1)-dependent, G protein-independent signaling pathway that results in the phosphorylation of the actin-binding protein cofilin (CFL1) through a RAC1-PAK1-LIMK1 signaling pathway. Activation of this pathway results in up-regulation of ACKR2 from endosomal compartment to cell membrane, increasing its efficiency in chemokine uptake and degradation. By scavenging chemokines in tissues, on the surfaces of lymphatic vessels, and in placenta, plays an essential role in the resolution (termination) of the inflammatory response and in the regulation of adaptive immune responses. Plays a major role in the immune silencing of macrophages during the resolution of inflammation. Acts as a regulator of inflammatory leukocyte interactions with lymphatic endothelial cells (LECs) and is required for immature/mature dendritic cells discrimination by LECs.",cell adhesion molecule(PC00069),"integral component of membrane,integral component of plasma membrane,cytosol,nucleoplasm,membrane,external side of plasma membrane,plasma membrane,intracellular membrane-bounded organelle,endosome,early endosome,recycling endosome,nuclear membrane,actin filament","G protein-coupled receptor activity,chemokine receptor activity,scavenger receptor activity,C-C chemokine binding,protein binding,C-C chemokine receptor activity",NA,NA,NA
Ackr3,ENSMUSG00000044337,109562,P56485,Atypical chemokine receptor 3,CytoChemoRecept,CCRecept,,NA,cell adhesion molecule(PC00069),"integral component of membrane,nucleus,cytoplasm,membrane,external side of plasma membrane,plasma membrane,cell surface,intracellular membrane-bounded organelle,endosome,early endosome,recycling endosome,clathrin-coated pit","G protein-coupled receptor activity,coreceptor activity,chemokine binding,scavenger receptor activity,C-C chemokine receptor activity,C-C chemokine binding,C-X-C chemokine receptor activity,C-X-C chemokine binding",receptor,NA,NA
Ackr4,ENSMUSG00000079355,2181676,Q924I3,Atypical chemokine receptor 4,CytoChemoRecept,CCRecept,,NA,cell adhesion molecule(PC00069),"integral component of membrane,membrane,external side of plasma membrane,plasma membrane,endosome,early endosome,recycling endosome","G protein-coupled receptor activity,chemokine receptor activity,scavenger receptor activity,chemokine binding,C-C chemokine receptor activity,C-C chemokine binding",receptor,NA,NA
C3ar1,ENSMUSG00000040552,1097680,O09047,C3a anaphylatoxin chemotactic receptor,CytoChemoRecept,CCRecept,,NA,G-protein coupled receptor(PC00021),"integral component of membrane,membrane,plasma membrane","G protein-coupled receptor activity,complement component C3a receptor activity,complement receptor activity,complement component C3a binding",NA,NA,NA
C5ar1,ENSMUSG00000049130,88232,P30993,C5a anaphylatoxin chemotactic receptor 1,CytoChemoRecept,CCRecept,,NA,G-protein coupled receptor(PC00021),"integral component of membrane,membrane,plasma membrane,cell surface,cytoplasmic vesicle,basolateral plasma membrane,apical part of cell","G protein-coupled receptor activity,complement receptor activity,complement component C5a binding,complement component C5a receptor activity",NA,NA,NA
C5ar2,ENSMUSG00000074361,2442013,Q8BW93,C5a anaphylatoxin chemotactic receptor 2,CytoChemoRecept,CCRecept,,NA,G-protein coupled receptor(PC00021),"integral component of membrane,membrane,plasma membrane,apical part of cell,basal plasma membrane","G protein-coupled receptor activity,complement receptor activity,complement component C5a receptor activity",NA,NA,NA
Ccr1,ENSMUSG00000025804,104618,P51675,C-C chemokine receptor type 1,CytoChemoRecept,CCRecept,,NA,cell adhesion molecule(PC00069),"integral component of membrane,membrane,external side of plasma membrane,plasma membrane,cytoplasm,neuronal cell body","G protein-coupled receptor activity,chemokine receptor activity,C-C chemokine receptor activity,protein binding,phosphatidylinositol phospholipase C activity,C-C chemokine binding,chemokine (C-C motif) ligand 7 binding,chemokine (C-C motif) ligand 5 binding",receptor,NA,NA
Ccr10,ENSMUSG00000044052,1096320,Q9JL21,C-C chemokine receptor type 10,CytoChemoRecept,CCRecept,,NA,cell adhesion molecule(PC00069),"integral component of membrane,membrane,external side of plasma membrane,plasma membrane,cell surface,endoplasmic reticulum","G protein-coupled receptor activity,C-C chemokine receptor activity,protein binding,chemokine receptor activity,C-C chemokine binding",receptor,NA,NA
Ccr1l1,ENSMUSG00000064039,104617,P51676,C-C chemokine receptor 1-like protein 1,CytoChemoRecept,CCRecept,,NA,cell adhesion molecule(PC00069),"integral component of membrane,membrane,external side of plasma membrane,plasma membrane,cytoplasm","G protein-coupled receptor activity,chemokine receptor activity,C-C chemokine receptor activity,phosphatidylinositol phospholipase C activity,C-C chemokine binding,chemokine (C-C motif) ligand 7 binding,chemokine (C-C motif) ligand 5 binding",receptor,NA,NA
Ccr2,ENSMUSG00000049103,106185,P51683,C-C chemokine receptor type 2,CytoChemoRecept,CCRecept,,NA,cell adhesion molecule(PC00069),"integral component of membrane,cytosol,membrane,external side of plasma membrane,plasma membrane,perinuclear region of cytoplasm,cytoplasm,neuronal cell body,dendrite,perikaryon,fibrillar center,primary dendrite","G protein-coupled receptor activity,chemokine receptor activity,C-C chemokine receptor activity,protein binding,identical protein binding,C-C chemokine binding,cytokine binding,chemokine (C-C motif) ligand 5 binding,chemokine (C-C motif) ligand 2 binding,chemokine (C-C motif) ligand 12 binding,chemokine (C-C motif) ligand 7 binding",receptor,NA,NA
Ccr3,ENSMUSG00000035448,104616,P51678,Probable C-C chemokine receptor type 3,CytoChemoRecept,CCRecept,,NA,cell adhesion molecule(PC00069),"integral component of membrane,membrane,external side of plasma membrane,extracellular space,plasma membrane,cytoplasm,endosome","G protein-coupled receptor activity,chemokine receptor activity,C-C chemokine receptor activity,protein binding,C-C chemokine binding",receptor,NA,NA
Ccr4,ENSMUSG00000047898,107824,P51680,C-C chemokine receptor type 4,CytoChemoRecept,CCRecept,,NA,cell adhesion molecule(PC00069),"integral component of membrane,membrane,external side of plasma membrane,plasma membrane,neuronal cell body","G protein-coupled receptor activity,chemokine receptor activity,C-C chemokine receptor activity,C-C chemokine binding",receptor,NA,NA
Ccr5,ENSMUSG00000079227,107182,P51682,C-C chemokine receptor type 5,CytoChemoRecept,CCRecept,,NA,cell adhesion molecule(PC00069),"integral component of membrane,cytoplasm,membrane,external side of plasma membrane,plasma membrane,cell surface,endosome","G protein-coupled receptor activity,chemokine receptor activity,C-C chemokine receptor activity,identical protein binding,protein kinase binding,actin binding,C-C chemokine binding,chemokine (C-C motif) ligand 5 binding",receptor,NA,NA
Ccr6,ENSMUSG00000040899,1333797,O54689,C-C chemokine receptor type 6,CytoChemoRecept,CCRecept,,NA,cell adhesion molecule(PC00069),"integral component of membrane,membrane,external side of plasma membrane,plasma membrane,cell surface,sperm midpiece,sperm principal piece,sperm flagellum,sperm plasma membrane","G protein-coupled receptor activity,chemokine receptor activity,C-C chemokine receptor activity,protein binding,C-C chemokine binding",receptor,NA,NA
Ccr7,ENSMUSG00000037944,103011,P47774,C-C chemokine receptor type 7,CytoChemoRecept,CCRecept,,NA,cell adhesion molecule(PC00069),"integral component of membrane,mitochondrion,membrane,external side of plasma membrane,plasma membrane,cell surface","G protein-coupled receptor activity,chemokine receptor activity,C-C chemokine receptor activity,protein binding,C-C chemokine binding,chemokine (C-C motif) ligand 19 binding,chemokine (C-C motif) ligand 21 binding,C-C motif chemokine 19 receptor activity,C-C motif chemokine 21 receptor activity",receptor,NA,NA
Ccr8,ENSMUSG00000042262,1201402,P56484,C-C chemokine receptor type 8,CytoChemoRecept,CCRecept,,NA,cell adhesion molecule(PC00069),"integral component of membrane,membrane,external side of plasma membrane,plasma membrane","G protein-coupled receptor activity,chemokine receptor activity,C-C chemokine receptor activity,protein binding,C-C chemokine binding",receptor,NA,NA
Ccr9,ENSMUSG00000029530,1341902,Q9WUT7,C-C chemokine receptor type 9,CytoChemoRecept,CCRecept,,NA,cell adhesion molecule(PC00069),"integral component of membrane,membrane,external side of plasma membrane,plasma membrane,cell surface","G protein-coupled receptor activity,chemokine receptor activity,C-C chemokine receptor activity,protein binding,C-C chemokine binding",receptor,NA,NA
Ccrl2,ENSMUSG00000043953,1920904,O35457,C-C chemokine receptor-like 2,CytoChemoRecept,CCRecept,,NA,cell adhesion molecule(PC00069),"integral component of membrane,membrane,external side of plasma membrane,plasma membrane,cytoplasm","G protein-coupled receptor activity,chemokine receptor activity,chemokine receptor binding,C-C chemokine receptor activity,C-C chemokine binding,CCR chemokine receptor binding",NA,NA,NA
Cd27,ENSMUSG00000030336,88326,P41272,CD27 antigen,CytoChemoRecept,CCRecept,,NA,NA,"membrane,external side of plasma membrane,cell surface","protein binding,transmembrane signaling receptor activity,cysteine-type endopeptidase inhibitor activity involved in apoptotic process",receptor,NA,NA
Csf1r,ENSMUSG00000024621,1339758,P09581,Macrophage colony-stimulating factor 1 receptor,CytoChemoRecept,CCRecept,,NA,transmembrane signal receptor(PC00197),"cytoplasm,nucleoplasm,membrane,plasma membrane,intracellular membrane-bounded organelle,cell surface,cell body,perikaryon,receptor complex,CSF1-CSF1R complex","ATP binding,protein kinase activity,transmembrane receptor protein tyrosine kinase activity,protein tyrosine kinase activity,cytokine binding,protein binding,transferase activity,nucleotide binding,kinase activity,protein phosphatase binding,protein homodimerization activity,macrophage colony-stimulating factor receptor activity",receptor,NA,NA
Csf2rb,ENSMUSG00000071713,1339759,P26955,Cytokine receptor common subunit beta,CytoChemoRecept,CCRecept,,NA,transmembrane signal receptor(PC00197),"integral component of membrane,membrane,external side of plasma membrane,granulocyte macrophage colony-stimulating factor receptor complex","protein binding,cytokine receptor activity",receptor,NA,NA
Csf2rb2,ENSMUSG00000071714,1339760,P26954,Interleukin-3 receptor class 2 subunit beta,CytoChemoRecept,CCRecept,,NA,transmembrane signal receptor(PC00197),"integral component of membrane,membrane,external side of plasma membrane,plasma membrane,granulocyte macrophage colony-stimulating factor receptor complex","protein binding,cytokine receptor activity",receptor,NA,NA
Csf3r,ENSMUSG00000028859,1339755,P40223,Granulocyte colony-stimulating factor receptor,CytoChemoRecept,CCRecept,,NA,transmembrane signal receptor(PC00197),"membrane,external side of plasma membrane,plasma membrane,receptor complex,endocytic vesicle membrane","protein binding,cytokine receptor activity,cytokine binding,granulocyte colony-stimulating factor binding",receptor,NA,NA
Cx3cr1,ENSMUSG00000052336,1333815,Q9Z0D9,CX3C chemokine receptor 1,CytoChemoRecept,CCRecept,,NA,cell adhesion molecule(PC00069),"integral component of membrane,membrane,external side of plasma membrane,plasma membrane,perinuclear region of cytoplasm,cell surface,neuron projection,neuronal cell body membrane,dendritic tree","G protein-coupled receptor activity,C-X3-C chemokine receptor activity,CX3C chemokine receptor binding,chemokine receptor activity,C-C chemokine receptor activity,C-C chemokine binding,cytokine receptor activity,C-X3-C chemokine binding",receptor,NA,NA
Cxcr1,ENSMUSG00000048480,2448715,Q810W6,C-X-C chemokine receptor type 1,CytoChemoRecept,CCRecept,,NA,cell adhesion molecule(PC00069),"integral component of membrane,membrane,external side of plasma membrane,plasma membrane","C-X-C chemokine receptor activity,G protein-coupled receptor activity,C-C chemokine receptor activity,C-C chemokine binding,interleukin-8 receptor activity,interleukin-8 binding",receptor,NA,NA
Cxcr2,ENSMUSG00000026180,105303,P35343,C-X-C chemokine receptor type 2,CytoChemoRecept,CCRecept,,NA,cell adhesion molecule(PC00069),"integral component of membrane,nucleoplasm,membrane,external side of plasma membrane,plasma membrane,cell surface,microtubule cytoskeleton,mitotic spindle,mast cell granule","C-X-C chemokine receptor activity,interleukin-8 binding,G protein-coupled receptor activity,protein binding,chemokine receptor activity,C-C chemokine receptor activity,C-C chemokine binding,interleukin-8 receptor activity",receptor,NA,NA
Cxcr3,ENSMUSG00000050232,1277207,O88410,C-X-C chemokine receptor type 3,CytoChemoRecept,CCRecept,,NA,cell adhesion molecule(PC00069),"integral component of membrane,membrane,external side of plasma membrane,plasma membrane,cell surface","C-X-C chemokine receptor activity,G protein-coupled receptor activity,chemokine receptor activity,signaling receptor activity,C-C chemokine receptor activity,C-C chemokine binding,chemokine binding,C-X-C chemokine binding",receptor,NA,NA
Cxcr4,ENSMUSG00000045382,109563,P70658,C-X-C chemokine receptor type 4,CytoChemoRecept,CCRecept,,NA,cell adhesion molecule(PC00069),"integral component of membrane,membrane,plasma membrane,lysosome,anchoring junction,endosome,early endosome,late endosome,nucleus,cytoplasm,cytosol,cell surface,extracellular matrix,cell leading edge,cytoplasmic vesicle,protein-containing complex","G protein-coupled receptor activity,chemokine receptor activity,cytokine binding,actin binding,C-C chemokine binding,ubiquitin protein ligase binding,myosin light chain binding,small molecule binding,C-X-C motif chemokine 12 receptor activity,ubiquitin binding",receptor,NA,NA
Cxcr5,ENSMUSG00000047880,103567,Q04683,C-X-C chemokine receptor type 5,CytoChemoRecept,CCRecept,,NA,cell adhesion molecule(PC00069),"integral component of membrane,membrane,external side of plasma membrane,plasma membrane","C-X-C chemokine receptor activity,G protein-coupled receptor activity,C-C chemokine receptor activity,C-C chemokine binding",receptor,NA,NA
Cxcr6,ENSMUSG00000048521,1934582,Q9EQ16,C-X-C chemokine receptor type 6,CytoChemoRecept,CCRecept,,NA,cell adhesion molecule(PC00069),"integral component of membrane,membrane,external side of plasma membrane,plasma membrane","C-X-C chemokine receptor activity,G protein-coupled receptor activity,chemokine receptor activity,coreceptor activity,C-C chemokine receptor activity,C-C chemokine binding,C-X-C chemokine binding",receptor,NA,NA
Epor,ENSMUSG00000006235,95408,P14753,Erythropoietin receptor,CytoChemoRecept,CCRecept,,NA,transmembrane signal receptor(PC00197),"integral component of membrane,membrane,nuclear speck,cytoplasm,external side of plasma membrane,plasma membrane,cell surface,extracellular region","protein binding,transmembrane signaling receptor activity,cytokine receptor activity,identical protein binding,erythropoietin receptor activity",receptor,NA,NA
Fas,ENSMUSG00000024778,95484,P25446,Tumor necrosis factor receptor superfamily member 6,CytoChemoRecept,CCRecept,,NA,transmembrane signal receptor(PC00197),"membrane,cytosol,cytoplasm,nuclear body,external side of plasma membrane,extracellular space,plasma membrane,cellular anatomical entity,perinuclear region of cytoplasm,cell surface,membrane raft,apical plasma membrane,extracellular region,neuron projection,sarcolemma,neuronal cell body,secretory granule,death-inducing signaling complex,CD95 death-inducing signaling complex,apical dendrite","protein binding,transmembrane signaling receptor activity,protein-containing complex binding,calmodulin binding,protease binding,identical protein binding,kinase binding,tumor necrosis factor receptor activity",receptor,NA,NA
Flt3,ENSMUSG00000042817,95559,Q00342,Receptor-type tyrosine-protein kinase FLT3,CytoChemoRecept,CCRecept,,"Tyrosine-protein kinase that acts as cell-surface receptor for the cytokine FLT3LG and regulates differentiation, proliferation and survival of hematopoietic progenitor cells and of dendritic cells.",transmembrane signal receptor(PC00197),"membrane,nucleus,cytoplasm,endoplasmic reticulum,cytosol,plasma membrane,protein-containing complex","ATP binding,protein kinase activity,transmembrane receptor protein tyrosine kinase activity,protein tyrosine kinase activity,nucleotide binding,nuclear glucocorticoid receptor binding,protein self-association,protein-containing complex binding",NA,NA,NA
Ifnar1,ENSMUSG00000022967,107658,P33896,Interferon alpha/beta receptor 1,CytoChemoRecept,CCRecept,,NA,transmembrane signal receptor(PC00197),"membrane,plasma membrane,lysosome,endosome,late endosome","protein binding,interferon receptor activity,cytokine receptor activity,type I interferon receptor activity,cytokine binding,type I interferon binding",receptor,NA,NA
Ifnar2,ENSMUSG00000022971,1098243,O35664,Interferon alpha/beta receptor 2,CytoChemoRecept,CCRecept,,NA,transmembrane signal receptor(PC00197),"membrane,plasma membrane,extracellular space,extracellular region","protein binding,protein kinase binding,cytokine receptor activity,type I interferon receptor activity,cytokine binding,type I interferon binding",receptor,NA,NA
Ifngr1,ENSMUSG00000020009,107655,P15261,Interferon gamma receptor 1,CytoChemoRecept,CCRecept,,NA,transmembrane signal receptor(PC00197),"membrane,postsynaptic density,plasma membrane,endoplasmic reticulum,dendrite,vesicle","protein binding,cytokine receptor activity,cytokine binding",receptor,NA,NA
Ifngr2,ENSMUSG00000022965,107654,Q63953,Ifngr2 protein,CytoChemoRecept,CCRecept,,NA,transmembrane signal receptor(PC00197),"membrane,plasma membrane","protein binding,cytokine receptor activity",receptor,NA,NA
Ifnlr1,ENSMUSG00000062157,2429859,Q8CGK5,Interferon lambda receptor 1,CytoChemoRecept,CCRecept,,NA,transmembrane signal receptor(PC00197),"membrane,plasma membrane,interleukin-28 receptor complex","protein binding,cytokine receptor activity",receptor,NA,NA
Il10ra,ENSMUSG00000032089,96538,Q61727,Interleukin-10 receptor subunit alpha,CytoChemoRecept,CCRecept,,NA,transmembrane signal receptor(PC00197),"cytosol,cytoplasm,membrane,plasma membrane","protein binding,cytokine receptor activity,interleukin-10 receptor activity,interleukin-10 binding",receptor,NA,NA
Il10rb,ENSMUSG00000022969,109380,Q61190,Interleukin-10 receptor subunit beta,CytoChemoRecept,CCRecept,,NA,transmembrane signal receptor(PC00197),membrane,protein binding,receptor,NA,NA
Il11ra1,ENSMUSG00000073889,107426,Q64385,Interleukin-11 receptor subunit alpha-1,CytoChemoRecept,CCRecept,,NA,transmembrane signal receptor(PC00197),"membrane,external side of plasma membrane,extracellular region,receptor complex","protein binding,cytokine receptor activity,cytokine binding,interleukin-11 receptor activity,interleukin-11 binding",receptor,NA,NA
Il12rb1,ENSMUSG00000000791,104579,Q60837,Interleukin-12 receptor subunit beta-1,CytoChemoRecept,CCRecept,,NA,transmembrane signal receptor(PC00197),"membrane,external side of plasma membrane,plasma membrane,receptor complex,interleukin-12 receptor complex,interleukin-23 receptor complex","protein binding,cytokine receptor activity,interleukin-12 receptor binding,interleukin-23 binding,cytokine binding,interleukin-12 receptor activity,interleukin-23 receptor activity",receptor,NA,NA
Il12rb2,ENSMUSG00000018341,1270861,P97378,Interleukin-12 receptor subunit beta-2,CytoChemoRecept,CCRecept,,NA,transmembrane signal receptor(PC00197),"membrane,external side of plasma membrane,plasma membrane,receptor complex","protein binding,cytokine receptor activity,protein kinase binding,cytokine binding",receptor,NA,NA
Il13ra1,ENSMUSG00000017057,105052,O09030,Interleukin-13 receptor subunit alpha-1,CytoChemoRecept,CCRecept,,NA,transmembrane signal receptor(PC00197),"membrane,external side of plasma membrane,receptor complex","protein binding,cytokine receptor activity,oncostatin-M receptor activity,leukemia inhibitory factor receptor activity,ciliary neurotrophic factor receptor binding,interleukin-13 receptor activity,cytokine binding",receptor,NA,NA
Il13ra2,ENSMUSG00000031289,1277954,O88786,Interleukin-13 receptor subunit alpha-2,CytoChemoRecept,CCRecept,,NA,transmembrane signal receptor(PC00197),"membrane,external side of plasma membrane,extracellular region,receptor complex","protein binding,cytokine receptor activity,cytokine binding",receptor,NA,NA
Il15ra,ENSMUSG00000023206,104644,Q60819,Interleukin-15 receptor subunit alpha,CytoChemoRecept,CCRecept,,NA,transmembrane signal receptor(PC00197),"nucleus,membrane,cell surface,extracellular region,extracellular space,nuclear membrane,cytoplasmic vesicle,plasma membrane","interleukin-15 receptor activity,protein kinase binding",receptor,NA,NA
Il17ra,ENSMUSG00000002897,107399,Q60943,Interleukin-17 receptor A,CytoChemoRecept,CCRecept,,NA,transmembrane signal receptor(PC00197),"membrane,plasma membrane,cellular anatomical entity","interleukin-17 receptor activity,protein binding,signaling receptor binding",receptor,NA,NA
Il17rb,ENSMUSG00000015966,1355292,Q9JIP3,Interleukin-17 receptor B,CytoChemoRecept,CCRecept,,NA,transmembrane signal receptor(PC00197),"membrane,plasma membrane,cellular anatomical entity,intracellular membrane-bounded organelle,cytoplasm,cell surface,extracellular region","interleukin-17 receptor activity,protein binding,cytokine receptor activity",receptor,NA,NA
Il17rc,ENSMUSG00000030281,2159336,Q8K4C2,Interleukin-17 receptor C,CytoChemoRecept,CCRecept,,NA,transmembrane signal receptor(PC00197),"membrane,plasma membrane,cell surface","interleukin-17 receptor activity,protein binding,signaling receptor binding",receptor,NA,NA
Il17re,ENSMUSG00000043088,1889371,Q8BH06,Interleukin-17 receptor E,CytoChemoRecept,CCRecept,,NA,transmembrane signal receptor(PC00197),"cytoplasm,membrane,plasma membrane,extracellular region","interleukin-17 receptor activity,protein binding",receptor,NA,NA
Il18r1,ENSMUSG00000026070,105383,Q61098,Interleukin-18 receptor 1,CytoChemoRecept,CCRecept,,NA,transmembrane signal receptor(PC00197),"membrane,interleukin-18 receptor complex","hydrolase activity,protein binding,NAD(P)+ nucleosidase activity,NAD+ nucleotidase, cyclic ADP-ribose generating,NAD+ nucleosidase activity,interleukin-18 binding,interleukin-18 receptor activity",receptor,NA,NA
Il18rap,ENSMUSG00000026068,1338888,Q9Z2B1,Interleukin-18 receptor accessory protein,CytoChemoRecept,CCRecept,,NA,transmembrane signal receptor(PC00197),"membrane,plasma membrane,interleukin-18 receptor complex","interleukin-1 receptor activity,hydrolase activity,NAD(P)+ nucleosidase activity,NAD+ nucleotidase, cyclic ADP-ribose generating,NAD+ nucleosidase activity,interleukin-18 receptor activity",receptor,NA,NA
Il1r1,ENSMUSG00000026072,96545,P13504,Interleukin-1 receptor type 1,CytoChemoRecept,CCRecept,,NA,transmembrane signal receptor(PC00197),"nucleus,postsynaptic density,axon,membrane,extracellular space,external side of plasma membrane,plasma membrane,protein-containing complex,cell surface,extracellular region","interleukin-1 receptor activity,interleukin-1, type I, activating receptor activity,protein binding,hydrolase activity,NAD(P)+ nucleosidase activity,NAD+ nucleotidase, cyclic ADP-ribose generating,interleukin-1 binding,platelet-derived growth factor receptor binding,ionotropic glutamate receptor binding,protease binding,NAD+ nucleosidase activity",receptor,NA,NA
Il1r2,ENSMUSG00000026073,96546,P27931,Interleukin-1 receptor type 2,CytoChemoRecept,CCRecept,,NA,transmembrane signal receptor(PC00197),"cytoplasm,membrane,plasma membrane,extracellular region","interleukin-1 receptor activity,interleukin-1, type II, blocking receptor activity,interleukin-1 binding",receptor,NA,NA
Il1rap,ENSMUSG00000022514,104975,Q61730,Interleukin-1 receptor accessory protein,CytoChemoRecept,CCRecept,,NA,transmembrane signal receptor(PC00197),"cytoplasm,membrane,plasma membrane,protein-containing complex,extracellular region,synapse,glutamatergic synapse","interleukin-1 receptor activity,hydrolase activity,protein binding,NAD(P)+ nucleosidase activity,NAD+ nucleotidase, cyclic ADP-ribose generating,NAD+ nucleosidase activity,interleukin-1 receptor binding,interleukin-33 receptor activity",receptor,NA,NA
Il1rl2,ENSMUSG00000070942,1913107,Q9ERS7,Interleukin-1 receptor-like 2,CytoChemoRecept,CCRecept,,NA,transmembrane signal receptor(PC00197),"cellular_component,membrane","interleukin-1 receptor activity,interleukin-1, type I, activating receptor activity,hydrolase activity,NAD(P)+ nucleosidase activity,NAD+ nucleotidase, cyclic ADP-ribose generating,cytokine receptor activity,NAD+ nucleosidase activity",receptor,NA,NA
Il20rb,ENSMUSG00000044244,2143266,E9Q9A6,Interleukin 20 receptor beta,CytoChemoRecept,CCRecept,,NA,transmembrane signal receptor(PC00197),"membrane,plasma membrane","protein binding,cytokine receptor activity,interleukin-20 binding",receptor,NA,NA
Il21r,ENSMUSG00000030745,1890475,Q9JHX3,Interleukin-21 receptor,CytoChemoRecept,CCRecept,,NA,transmembrane signal receptor(PC00197),"membrane,external side of plasma membrane","protein binding,cytokine receptor activity,transmembrane signaling receptor activity",receptor,NA,NA
Il23r,ENSMUSG00000049093,2181693,Q8K4B4,Interleukin-23 receptor,CytoChemoRecept,CCRecept,,NA,transmembrane signal receptor(PC00197),"membrane,external side of plasma membrane,plasma membrane,receptor complex,interleukin-23 receptor complex","protein binding,cytokine receptor activity,interleukin-12 receptor binding,interleukin-23 binding,interleukin-23 receptor activity,cytokine binding",receptor,NA,NA
Il27ra,ENSMUSG00000005465,1355318,O70394,Interleukin-27 receptor subunit alpha,CytoChemoRecept,CCRecept,,NA,transmembrane signal receptor(PC00197),"membrane,external side of plasma membrane,plasma membrane,receptor complex,extracellular region,cytoplasm,interleukin-12 receptor complex,interleukin-23 receptor complex","protein binding,cytokine receptor activity,cytokine binding,interleukin-12 receptor binding,interleukin-23 binding,interleukin-27 receptor activity",receptor,NA,NA
Il2ra,ENSMUSG00000026770,96549,P01590,Interleukin-2 receptor subunit alpha,CytoChemoRecept,CCRecept,,NA,transmembrane signal receptor(PC00197),"membrane,external side of plasma membrane,cell surface","interleukin-2 receptor activity,interleukin-2 binding,protein binding",receptor,NA,NA
Il2rb,ENSMUSG00000068227,96550,P16297,Interleukin-2 receptor subunit beta,CytoChemoRecept,CCRecept,,NA,transmembrane signal receptor(PC00197),"membrane,external side of plasma membrane,plasma membrane,cell surface","protein binding,cytokine receptor activity,interleukin-2 receptor activity,interleukin-2 binding,interleukin-15 receptor activity",receptor,NA,NA
Il2rg,ENSMUSG00000031304,96551,P34902,Cytokine receptor common subunit gamma,CytoChemoRecept,CCRecept,,NA,transmembrane signal receptor(PC00197),"membrane,external side of plasma membrane,plasma membrane,cell surface,receptor complex","protein binding,cytokine receptor activity,cytokine binding,interleukin-2 binding,interleukin-15 receptor activity",receptor,NA,NA
Il31ra,ENSMUSG00000050377,2180511,Q8K5B1,Interleukin-31 receptor subunit alpha,CytoChemoRecept,CCRecept,,NA,transmembrane signal receptor(PC00197),"membrane,external side of plasma membrane,plasma membrane,synapse,cell projection,axon,receptor complex,presynaptic membrane","protein binding,cytokine receptor activity,cytokine binding,granulocyte colony-stimulating factor binding",receptor,NA,NA
Il4ra,ENSMUSG00000030748,105367,P16382,Interleukin-4 receptor subunit alpha,CytoChemoRecept,CCRecept,,NA,transmembrane signal receptor(PC00197),"integral component of membrane,membrane,nucleoplasm,external side of plasma membrane,extracellular space,plasma membrane,extracellular region,centriolar satellite,receptor complex","protein binding,cytokine receptor activity",receptor,NA,NA
Il5ra,ENSMUSG00000005364,96558,P21183,Interleukin-5 receptor subunit alpha,CytoChemoRecept,CCRecept,,NA,transmembrane signal receptor(PC00197),"membrane,external side of plasma membrane,receptor complex","protein binding,cytokine receptor activity,cytokine binding",receptor,NA,NA
Il6ra,ENSMUSG00000027947,105304,P22272,Interleukin-6 receptor subunit alpha,CytoChemoRecept,CCRecept,,NA,transmembrane signal receptor(PC00197),"membrane,external side of plasma membrane,extracellular space,plasma membrane,extracellular region,apical plasma membrane,receptor complex,neuronal cell body membrane,ciliary neurotrophic factor receptor complex,interleukin-6 receptor complex","protein binding,cytokine receptor activity,protein homodimerization activity,enzyme binding,cytokine binding,ciliary neurotrophic factor receptor activity,interleukin-6 receptor binding,interleukin-6 receptor activity,interleukin-11 receptor activity,interleukin-11 binding,interleukin-6 binding,ciliary neurotrophic factor binding",receptor,NA,NA
Il6st,ENSMUSG00000021756,96560,Q00560,Interleukin-6 receptor subunit beta,CytoChemoRecept,CCRecept,,NA,transmembrane signal receptor(PC00197),"membrane,external side of plasma membrane,extracellular space,plasma membrane,neuronal cell body,dendrite,cell body,membrane raft,receptor complex,neuronal cell body membrane,ciliary neurotrophic factor receptor complex,interleukin-6 receptor complex,oncostatin-M receptor complex","protein binding,cytokine receptor activity,identical protein binding,scaffold protein binding,growth factor binding,cytokine binding,ciliary neurotrophic factor receptor activity,interleukin-6 receptor binding,interleukin-6 receptor activity,interleukin-6 binding,leukemia inhibitory factor receptor activity,oncostatin-M receptor activity,ciliary neurotrophic factor receptor binding,interleukin-11 receptor activity,interleukin-11 binding",receptor,NA,NA
