"ProteinID","GeneID","GeneSymbol","Description","GO_Terms","Species","Immune_Source"
"ENSGALP00010041579","ENSGALG00010027985","PSMB4","proteasome 20S subunit beta 4 [Source:UniProtKB Gene Name;Acc:A0A8V1ABH8]","","Chicken","AvianImmunome"
"ENSGALP00010041611","ENSGALG00010028001","SBNO2","strawberry notch homolog 2 [Source:UniProtKB Gene Name;Acc:A0A8V1AIR4]","","Chicken","AvianImmunome"
"ENSGALP00010041612","ENSGALG00010028001","SBNO2","strawberry notch homolog 2 [Source:UniProtKB Gene Name;Acc:A0A8V1AIR4]","","Chicken","AvianImmunome"
"ENSGALP00010041613","ENSGALG00010028001","SBNO2","strawberry notch homolog 2 [Source:UniProtKB Gene Name;Acc:A0A8V1AIR4]","","Chicken","AvianImmunome"
"ENSGALP00010041615","ENSGALG00010028001","SBNO2","strawberry notch homolog 2 [Source:UniProtKB Gene Name;Acc:A0A8V1AIR4]","","Chicken","AvianImmunome"
"ENSGALP00010041618","ENSGALG00010028001","SBNO2","strawberry notch homolog 2 [Source:UniProtKB Gene Name;Acc:A0A8V1AIR4]","","Chicken","AvianImmunome"
"ENSGALP00010041631","ENSGALG00010028007","STK11","serine/threonine kinase 11 [Source:NCBI gene (formerly Entrezgene);Acc:420105]","","Chicken","AvianImmunome"
"ENSGALP00010041635","ENSGALG00010028007","STK11","serine/threonine kinase 11 [Source:NCBI gene (formerly Entrezgene);Acc:420105]","","Chicken","AvianImmunome"
"ENSGALP00010041636","ENSGALG00010028007","STK11","serine/threonine kinase 11 [Source:NCBI gene (formerly Entrezgene);Acc:420105]","T cell receptor signaling pathway; positive thymic T cell selection","Chicken","biomartGO; AvianImmunome"
"ENSGALP00010041646","ENSGALG00010028016","PRF1","perforin 1 [Source:UniProtKB Gene Name;Acc:R4QNW4]","T cell mediated cytotoxicity; leukocyte mediated cytotoxicity","Chicken","biomartGO"
"ENSGALP00010041647","ENSGALG00010028016","PRF1","perforin 1 [Source:UniProtKB Gene Name;Acc:R4QNW4]","leukocyte mediated cytotoxicity","Chicken","biomartGO"
"ENSGALP00010041671","ENSGALG00010028029","EFNA2","ephrin A2 [Source:NCBI gene (formerly Entrezgene);Acc:395831]","","Chicken","AvianImmunome"
"ENSGALP00010041676","ENSGALG00010028032","CAMK4L","","adaptive immune response; immune system process","Chicken","biomartGO"
"ENSGALP00010041678","ENSGALG00010028033","FCN2","ficolin 2 [Source:UniProtKB Gene Name;Acc:A0A8V1ABS3]","immune system process; innate immune response","Chicken","biomartGO"
"ENSGALP00010041680","ENSGALG00010028033","FCN2","ficolin 2 [Source:UniProtKB Gene Name;Acc:A0A8V1ABS3]","complement activation, lectin pathway; immune system process; innate immune response","Chicken","biomartGO"
"ENSGALP00010041681","ENSGALG00010028033","FCN2","ficolin 2 [Source:UniProtKB Gene Name;Acc:A0A8V1ABS3]","immune system process; innate immune response","Chicken","biomartGO"
"ENSGALP00010041718","ENSGALG00010028053","ORM1","orosomucoid 1 (ovoglycoprotein) [Source:NCBI gene (formerly Entrezgene);Acc:395220]","","Chicken","AvianImmunome"
"ENSGALP00010041719","ENSGALG00010028053","ORM1","orosomucoid 1 (ovoglycoprotein) [Source:NCBI gene (formerly Entrezgene);Acc:395220]","","Chicken","AvianImmunome"
