"ProteinID","GeneID","GeneSymbol","Description","GO_Terms","Species","Immune_Source"
"ENSGALP00010043736","ENSGALG00010029375","JMJD6","arginine demethylase and lysine hydroxylase [Source:NCBI gene (formerly Entrezgene);Acc:417355]","","Chicken","AvianImmunome"
"ENSGALP00010043737","ENSGALG00010029375","JMJD6","arginine demethylase and lysine hydroxylase [Source:NCBI gene (formerly Entrezgene);Acc:417355]","","Chicken","AvianImmunome"
"ENSGALP00010043738","ENSGALG00010029375","JMJD6","arginine demethylase and lysine hydroxylase [Source:NCBI gene (formerly Entrezgene);Acc:417355]","","Chicken","AvianImmunome"
"ENSGALP00010043740","ENSGALG00010029377","NCF1C","neutrophil cytosolic factor 1C pseudo [Source:NCBI gene (formerly Entrezgene);Acc:417485]","leukocyte mediated cytotoxicity; neutrophil-mediated killing of fungus; neutrophil-mediated killing of gram-positive bacterium","Chicken","biomartGO"
"ENSGALP00010043800","ENSGALG00010029399","PRKAR1A","protein kinase cAMP-dependent type I regulatory subunit alpha [Source:NCBI gene (formerly Entrezgene);Acc:417438]","","Chicken","AvianImmunome"
"ENSGALP00010043801","ENSGALG00010029399","PRKAR1A","protein kinase cAMP-dependent type I regulatory subunit alpha [Source:NCBI gene (formerly Entrezgene);Acc:417438]","","Chicken","AvianImmunome"
"ENSGALP00010043831","ENSGALG00010029410","VTN","vitronectin [Source:NCBI gene (formerly Entrezgene);Acc:395935]","","Chicken","AvianImmunome"
"ENSGALP00010043832","ENSGALG00010029410","VTN","vitronectin [Source:NCBI gene (formerly Entrezgene);Acc:395935]","immune response","Chicken","biomartGO; AvianImmunome"
"ENSGALP00010043833","ENSGALG00010029410","VTN","vitronectin [Source:NCBI gene (formerly Entrezgene);Acc:395935]","immune response","Chicken","biomartGO; AvianImmunome"
"ENSGALP00010043834","ENSGALG00010029411","SARM1","sterile alpha and TIR motif containing 1 [Source:UniProtKB Gene Name;Acc:A0A8V1AM40]","immune system process; innate immune response","Chicken","biomartGO"
"ENSGALP00010043835","ENSGALG00010029411","SARM1","sterile alpha and TIR motif containing 1 [Source:UniProtKB Gene Name;Acc:A0A8V1AM40]","immune system process; innate immune response","Chicken","biomartGO"
"ENSGALP00010043836","ENSGALG00010029411","SARM1","sterile alpha and TIR motif containing 1 [Source:UniProtKB Gene Name;Acc:A0A8V1AM40]","immune system process; innate immune response","Chicken","biomartGO"
"ENSGALP00010043849","ENSGALG00010029415","FOXN1","forkhead box N1 [Source:UniProtKB Gene Name;Acc:A0A8V1ANN7]","T cell homeostasis; lymphocyte homeostasis","Chicken","biomartGO; AvianImmunome"
"ENSGALP00010043859","ENSGALG00010029420","LAT2","linker for activation of T cells family member 2 [Source:NCBI gene (formerly Entrezgene);Acc:417489]","B cell activation; B cell receptor signaling pathway","Chicken","biomartGO; AvianImmunome"
"ENSGALP00010043860","ENSGALG00010029420","LAT2","linker for activation of T cells family member 2 [Source:NCBI gene (formerly Entrezgene);Acc:417489]","B cell activation","Chicken","biomartGO; AvianImmunome"
"ENSGALP00010043861","ENSGALG00010029420","LAT2","linker for activation of T cells family member 2 [Source:NCBI gene (formerly Entrezgene);Acc:417489]","B cell activation","Chicken","biomartGO; AvianImmunome"
"ENSGALP00010043862","ENSGALG00010029420","LAT2","linker for activation of T cells family member 2 [Source:NCBI gene (formerly Entrezgene);Acc:417489]","B cell activation","Chicken","biomartGO; AvianImmunome"
"ENSGALP00010043874","ENSGALG00010029425","SPNS2","spinster homolog 2 [Source:NCBI gene (formerly Entrezgene);Acc:417492]","B cell homeostasis; T cell homeostasis; lymphocyte homeostasis; lymphocyte migration","Chicken","biomartGO"
"ENSGALP00010043935","ENSGALG00010029459","FOXJ1","forkhead box J1 [Source:NCBI gene (formerly Entrezgene);Acc:770009]","humoral immune response; leukocyte migration","Chicken","biomartGO; AvianImmunome"
"ENSGALP00010043981","ENSGALG00010029487","CDC42EP4","CDC42 effector protein 4 [Source:UniProtKB Gene Name;Acc:A0A8V1AIK8]","","Chicken","AvianImmunome"
"ENSGALP00010043982","ENSGALG00010029487","CDC42EP4","CDC42 effector protein 4 [Source:UniProtKB Gene Name;Acc:A0A8V1AIK8]","","Chicken","AvianImmunome"
"ENSGALP00010043983","ENSGALG00010029487","CDC42EP4","CDC42 effector protein 4 [Source:UniProtKB Gene Name;Acc:A0A8V1AIK8]","","Chicken","AvianImmunome"
"ENSGALP00010043984","ENSGALG00010029487","CDC42EP4","CDC42 effector protein 4 [Source:UniProtKB Gene Name;Acc:A0A8V1AIK8]","","Chicken","AvianImmunome"
"ENSGALP00010044032","ENSGALG00010029515","NPLOC4","NPL4 homolog, ubiquitin recognition factor [Source:UniProtKB Gene Name;Acc:A0A1L1RME9]","","Chicken","AvianImmunome"
"ENSGALP00010044033","ENSGALG00010029515","NPLOC4","NPL4 homolog, ubiquitin recognition factor [Source:UniProtKB Gene Name;Acc:A0A1L1RME9]","","Chicken","AvianImmunome"
"ENSGALP00010044034","ENSGALG00010029515","NPLOC4","NPL4 homolog, ubiquitin recognition factor [Source:UniProtKB Gene Name;Acc:A0A1L1RME9]","","Chicken","AvianImmunome"
"ENSGALP00010044082","ENSGALG00010029534","NF1","neurofibromin 1 [Source:UniProtKB Gene Name;Acc:A0A8V1AIW7]","","Chicken","AvianImmunome"
"ENSGALP00010044083","ENSGALG00010029534","NF1","neurofibromin 1 [Source:UniProtKB Gene Name;Acc:A0A8V1AIW7]","","Chicken","AvianImmunome"
"ENSGALP00010044084","ENSGALG00010029534","NF1","neurofibromin 1 [Source:UniProtKB Gene Name;Acc:A0A8V1AIW7]","","Chicken","AvianImmunome"
"ENSGALP00010044085","ENSGALG00010029534","NF1","neurofibromin 1 [Source:UniProtKB Gene Name;Acc:A0A8V1AIW7]","","Chicken","AvianImmunome"
"ENSGALP00010044091","ENSGALG00010029538","FZD9","frizzled class receptor 9 [Source:NCBI gene (formerly Entrezgene);Acc:373886]","B cell differentiation","Chicken","biomartGO; AvianImmunome"
"ENSGALP00010044122","ENSGALG00010029551","CCLL4","chemokine-like ligand 4 [Source:NCBI gene (formerly Entrezgene);Acc:417464]","antimicrobial humoral immune response mediated by antimicrobial peptide; immune response","Chicken","biomartGO; AvianImmunome"
"ENSGALP00010044123","ENSGALG00010029552","NOS2","nitric oxide synthase 2 [Source:NCBI gene (formerly Entrezgene);Acc:395807]","Fc-gamma receptor signaling pathway involved in phagocytosis","Chicken","biomartGO; AvianImmunome"
"ENSGALP00010044136","ENSGALG00010029560","TRIM58","tripartite motif containing 58 [Source:UniProtKB Gene Name;Acc:A0A8V1AP69]","innate immune response","Chicken","biomartGO"
"ENSGALP00010044140","ENSGALG00010029562","CCL4","C-C motif chemokine ligand 4 [Source:UniProtKB Gene Name;Acc:Q90826]","antimicrobial humoral immune response mediated by antimicrobial peptide; eosinophil chemotaxis; immune response","Chicken","biomartGO; AvianImmunome"
"ENSGALP00010044154","ENSGALG00010029570","TNFAIP1","TNF alpha induced protein 1 [Source:NCBI gene (formerly Entrezgene);Acc:417672]","immune response","Chicken","biomartGO; AvianImmunome"
"ENSGALP00010044155","ENSGALG00010029570","TNFAIP1","TNF alpha induced protein 1 [Source:NCBI gene (formerly Entrezgene);Acc:417672]","","Chicken","AvianImmunome"
"ENSGALP00010044156","ENSGALG00010029570","TNFAIP1","TNF alpha induced protein 1 [Source:NCBI gene (formerly Entrezgene);Acc:417672]","immune response","Chicken","biomartGO; AvianImmunome"
"ENSGALP00010044157","ENSGALG00010029571","EPX","eosinophil peroxidase [Source:UniProtKB Gene Name;Acc:A0A8V1AP82]","","Chicken","AvianImmunome"
"ENSGALP00010044158","ENSGALG00010029571","EPX","eosinophil peroxidase [Source:UniProtKB Gene Name;Acc:A0A8V1AP82]","","Chicken","AvianImmunome"
"ENSGALP00010044201","ENSGALG00010029584","TRIM25","tripartite motif containing 25 [Source:NCBI gene (formerly Entrezgene);Acc:417401]","immune system process; innate immune response","Chicken","biomartGO; AvianImmunome"
"ENSGALP00010044202","ENSGALG00010029584","TRIM25","tripartite motif containing 25 [Source:NCBI gene (formerly Entrezgene);Acc:417401]","immune system process; innate immune response","Chicken","biomartGO; AvianImmunome"
"ENSGALP00010044203","ENSGALG00010029584","TRIM25","tripartite motif containing 25 [Source:NCBI gene (formerly Entrezgene);Acc:417401]","cytoplasmic pattern recognition receptor signaling pathway; immune system process; innate immune response","Chicken","biomartGO; AvianImmunome"
"ENSGALP00010044227","ENSGALG00010029593","PAFAH1B1","platelet activating factor acetylhydrolase 1b regulatory subunit 1 [Source:NCBI gene (formerly Entrezgene);Acc:374224]","myeloid leukocyte migration","Chicken","biomartGO; AvianImmunome"
"ENSGALP00010044228","ENSGALG00010029593","PAFAH1B1","platelet activating factor acetylhydrolase 1b regulatory subunit 1 [Source:NCBI gene (formerly Entrezgene);Acc:374224]","","Chicken","AvianImmunome"
"ENSGALP00010044236","ENSGALG00010029596","ATAD5","ATPase family, AAA domain containing 5 [Source:NCBI gene (formerly Entrezgene);Acc:417408]","isotype switching","Chicken","biomartGO; AvianImmunome"
"ENSGALP00010044314","ENSGALG00010029622","MMP28","matrix metallopeptidase 28 [Source:UniProtKB Gene Name;Acc:A0A8V1AN12]","","Chicken","AvianImmunome"
"ENSGALP00010044319","ENSGALG00010029625","PECAM1","platelet and endothelial cell adhesion molecule 1 [Source:UniProtKB Gene Name;Acc:A0A8V1AJK9]","diapedesis; immune response; monocyte extravasation; neutrophil extravasation","Chicken","biomartGO; AvianImmunome"
"ENSGALP00010044320","ENSGALG00010029625","PECAM1","platelet and endothelial cell adhesion molecule 1 [Source:UniProtKB Gene Name;Acc:A0A8V1AJK9]","","Chicken","AvianImmunome"
"ENSGALP00010044321","ENSGALG00010029625","PECAM1","platelet and endothelial cell adhesion molecule 1 [Source:UniProtKB Gene Name;Acc:A0A8V1AJK9]","","Chicken","AvianImmunome"
"ENSGALP00010044322","ENSGALG00010029625","PECAM1","platelet and endothelial cell adhesion molecule 1 [Source:UniProtKB Gene Name;Acc:A0A8V1AJK9]","","Chicken","AvianImmunome"
"ENSGALP00010044323","ENSGALG00010029625","PECAM1","platelet and endothelial cell adhesion molecule 1 [Source:UniProtKB Gene Name;Acc:A0A8V1AJK9]","","Chicken","AvianImmunome"
"ENSGALP00010044324","ENSGALG00010029625","PECAM1","platelet and endothelial cell adhesion molecule 1 [Source:UniProtKB Gene Name;Acc:A0A8V1AJK9]","","Chicken","AvianImmunome"
"ENSGALP00010044326","ENSGALG00010029625","PECAM1","platelet and endothelial cell adhesion molecule 1 [Source:UniProtKB Gene Name;Acc:A0A8V1AJK9]","","Chicken","AvianImmunome"
"ENSGALP00010044327","ENSGALG00010029625","PECAM1","platelet and endothelial cell adhesion molecule 1 [Source:UniProtKB Gene Name;Acc:A0A8V1AJK9]","","Chicken","AvianImmunome"
"ENSGALP00010044338","ENSGALG00010029629","MILR1","mast cell immunoglobulin like receptor 1 [Source:UniProtKB Gene Name;Acc:A0A8V1AE93]","immune response","Chicken","biomartGO"
"ENSGALP00010044344","ENSGALG00010029635","CCL26","C-C motif chemokine ligand 26 [Source:UniProtKB Gene Name;Acc:A0A8V1ALC5]","immune response","Chicken","biomartGO"
"ENSGALP00010044345","ENSGALG00010029635","CCL26","C-C motif chemokine ligand 26 [Source:UniProtKB Gene Name;Acc:A0A8V1ALC5]","immune response","Chicken","biomartGO"
