"ProteinID","GeneID","GeneSymbol","Description","GO_Terms","Species","Immune_Source"
"ENSTGUP00000000491","ENSTGUG00000000481","CRTAM","cytotoxic and regulatory T cell molecule [Source:UniProtKB Gene Name;Acc:H0YQD5]","lymphocyte migration into lymphoid organs","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000000572","ENSTGUG00000000552","FANCC","FA complementation group C [Source:UniProtKB Gene Name;Acc:A0A674HNP1]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000000611","ENSTGUG00000000599","ETS1","ETS proto-onco 1, transcription factor [Source:UniProtKB Gene Name;Acc:H0YQQ4]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000000613","ENSTGUG00000000606","DAPK1","death associated protein kinase 1 [Source:UniProtKB Gene Name;Acc:H0YQS2]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000000617","ENSTGUG00000000602","TRIM3","tripartite motif containing 3 [Source:UniProtKB Gene Name;Acc:H0YQR0]","toll-like receptor signaling pathway","ZebraFinch","biomartGO"
"ENSTGUP00000000624","ENSTGUG00000000614","BSG","basigin (Ok blood group) [Source:UniProtKB Gene Name;Acc:H0YQR7]","neutrophil chemotaxis","ZebraFinch","biomartGO"
"ENSTGUP00000000629","ENSTGUG00000000606","DAPK1","death associated protein kinase 1 [Source:UniProtKB Gene Name;Acc:H0YQS2]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000000666","ENSTGUG00000000656","CFD","complement factor D [Source:UniProtKB Gene Name;Acc:H0YQV9]","complement activation, alternative pathway","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000000679","ENSTGUG00000000655","ITK","IL2 inducible T cell kinase [Source:UniProtKB Gene Name;Acc:H0YQX2]","NK T cell differentiation; T cell receptor signaling pathway; adaptive immune response; gamma-delta T cell activation","ZebraFinch","biomartGO"
"ENSTGUP00000000692","ENSTGUG00000000681","FAXDC2","fatty acid hydroxylase domain containing 2 [Source:UniProtKB Gene Name;Acc:H0YQY6]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000000693","ENSTGUG00000000681","FAXDC2","fatty acid hydroxylase domain containing 2 [Source:UniProtKB Gene Name;Acc:H0YQY6]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000000698","ENSTGUG00000000682","PAXIP1","PAX interacting protein 1 [Source:UniProtKB Gene Name;Acc:H0YQZ1]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000000707","ENSTGUG00000000697","SHH","sonic hedgehog signaling molecule [Source:UniProtKB Gene Name;Acc:H0YR00]","T cell differentiation in thymus; T cell proliferation; alpha-beta T cell differentiation; negative thymic T cell selection; positive thymic T cell selection","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000000756","ENSTGUG00000000738","NCAPG2","non-SMC condensin II complex subunit G2 [Source:UniProtKB Gene Name;Acc:H0YR48]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000000779","ENSTGUG00000000753","G3BP1","G3BP stress granule assembly factor 1 [Source:UniProtKB Gene Name;Acc:A0A674HJ33]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000000798","ENSTGUG00000000764","ZMYND11","zinc finger MYND-type containing 11 [Source:UniProtKB Gene Name;Acc:A0A674GPY7]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000000811","ENSTGUG00000000795","TICAM1","TIR domain containing adaptor molecule 1 [Source:UniProtKB Gene Name;Acc:H0YRA2]","TRIF-dependent toll-like receptor signaling pathway; immune system process; innate immune response; toll-like receptor 3 signaling pathway; toll-like receptor 4 signaling pathway; toll-like receptor signaling pathway","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000000815","ENSTGUG00000000793","ANXA1","annexin A1 [Source:UniProtKB Gene Name;Acc:A0A674HV90]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000000847","ENSTGUG00000000832","TIRAP","TIR domain containing adaptor protein [Source:UniProtKB Gene Name;Acc:H0YRD8]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000000859","ENSTGUG00000000831","CTPS1","CTP synthase 1 [Source:UniProtKB Gene Name;Acc:H0YRF0]","T cell proliferation","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000000868","ENSTGUG00000000847","KIRREL3","kirre like nephrin family adhesion molecule 3 [Source:UniProtKB Gene Name;Acc:A0A674H4C1]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000000897","ENSTGUG00000000877","EFNA2","ephrin A2 [Source:UniProtKB Gene Name;Acc:A0A674HQ22]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000000904","ENSTGUG00000000882","CD74","CD74 molecule [Source:NCBI gene (formerly Entrezgene);Acc:100229033]","T cell activation involved in immune response; antigen processing and presentation; immune response","ZebraFinch","biomartGO"
"ENSTGUP00000000924","ENSTGUG00000000898","STK11","serine/threonine kinase 11 [Source:UniProtKB Gene Name;Acc:H0YRL5]","T cell receptor signaling pathway; positive thymic T cell selection","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000000931","ENSTGUG00000000910","FZD8","frizzled class receptor 8 [Source:UniProtKB Gene Name;Acc:H0YRM2]","T cell differentiation in thymus","ZebraFinch","biomartGO"
"ENSTGUP00000000939","ENSTGUG00000000905","SBNO2","strawberry notch homolog 2 [Source:UniProtKB Gene Name;Acc:A0A674GIB9]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000000954","ENSTGUG00000000929","CNN2","calponin 2 [Source:UniProtKB Gene Name;Acc:H0YRP5]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000000989","ENSTGUG00000000966","WASF2","WASP family member 2 [Source:UniProtKB Gene Name;Acc:H0YRT0]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000000990","ENSTGUG00000000963","FER","FER tyrosine kinase [Source:UniProtKB Gene Name;Acc:A0A674HU56]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000000996","ENSTGUG00000000965","CSF1R","colony stimulating factor 1 receptor [Source:NCBI gene (formerly Entrezgene);Acc:100220482]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000001011","ENSTGUG00000000986","GPATCH3","G-patch domain containing 3 [Source:UniProtKB Gene Name;Acc:A0A674GA47]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000001016","ENSTGUG00000000968","ITGB1","integrin subunit beta 1 [Source:UniProtKB Gene Name;Acc:A0A674GTH3]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000001017","ENSTGUG00000000992","ZDHHC18","zinc finger DHHC-type palmitoyltransferase 18 [Source:UniProtKB Gene Name;Acc:H0YRV8]","cGAS/STING signaling pathway","ZebraFinch","biomartGO"
"ENSTGUP00000001024","ENSTGUG00000000999","CAMK4","calcium/calmodulin dependent protein kinase IV [Source:UniProtKB Gene Name;Acc:H0YRW5]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000001030","ENSTGUG00000000983","FLT4","fms related receptor tyrosine kinase 4 [Source:UniProtKB Gene Name;Acc:H0YRX0]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000001031","ENSTGUG00000001004","EEF2","eukaryotic translation elongation factor 2 [Source:UniProtKB Gene Name;Acc:H0YRX1]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000001032","ENSTGUG00000000998","KIF5B","kinesin family member 5B [Source:UniProtKB Gene Name;Acc:H0YRX2]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000001048","ENSTGUG00000001020","ZEB1","zinc finger E-box binding homeobox 1 [Source:UniProtKB Gene Name;Acc:A0A674GRP4]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000001086","ENSTGUG00000001055","MAP3K8","mitogen-activated protein kinase kinase kinase 8 [Source:UniProtKB Gene Name;Acc:H0YS26]","immune system process","ZebraFinch","biomartGO"
"ENSTGUP00000001118","ENSTGUG00000001084","IL10","interleukin 10 [Source:UniProtKB Gene Name;Acc:H0YS58]","immune response","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000001121","ENSTGUG00000001090","ARMC6","armadillo repeat containing 6 [Source:UniProtKB Gene Name;Acc:H0YS61]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000001139","ENSTGUG00000001109","IKBKE","inhibitor of nuclear factor kappa B kinase subunit epsilon [Source:UniProtKB Gene Name;Acc:A0A674GCH4]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000001142","ENSTGUG00000001109","IKBKE","inhibitor of nuclear factor kappa B kinase subunit epsilon [Source:UniProtKB Gene Name;Acc:A0A674GCH4]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000001161","ENSTGUG00000001130","RUNX3","RUNX family transcription factor 3 [Source:UniProtKB Gene Name;Acc:H0YSA1]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000001166","ENSTGUG00000001133","ABI1","abl interactor 1 [Source:UniProtKB Gene Name;Acc:A0A674H2E9]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000001177","ENSTGUG00000001140","APBB1IP","amyloid beta protein binding family B member 1 interacting protein [Source:UniProtKB Gene Name;Acc:A0A674H6F8]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000001225","ENSTGUG00000001188","CNR2","cannabinoid receptor 2 [Source:UniProtKB Gene Name;Acc:H0YSG5]","leukocyte chemotaxis","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000001234","ENSTGUG00000001191","PIP4K2A","phosphatidylinositol-5-phosphate 4-kinase type 2 alpha [Source:UniProtKB Gene Name;Acc:A0A674HCI1]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000001240","ENSTGUG00000001201","PITHD1","PITH domain containing 1 [Source:NCBI gene (formerly Entrezgene);Acc:100190147]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000001252","ENSTGUG00000001214","SMAD5","SMAD family member 5 [Source:UniProtKB Gene Name;Acc:H0YSJ2]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000001279","ENSTGUG00000001238","SLC46A2","solute carrier family 46 member 2 [Source:UniProtKB Gene Name;Acc:H0YSL9]","T cell homeostasis","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000001312","ENSTGUG00000001266","PABPC4","poly(A) binding protein cytoplasmic 4 [Source:UniProtKB Gene Name;Acc:H0YSQ1]","","ZebraFinch","AvianImmunome"
