"ProteinID","GeneID","GeneSymbol","Description","GO_Terms","Species","Immune_Source"
"ENSTGUP00000008019","ENSTGUG00000007774","EIF2B3","eukaryotic translation initiation factor 2B subunit gamma [Source:UniProtKB Gene Name;Acc:A0A674GE73]","T cell receptor signaling pathway","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000008039","ENSTGUG00000007810","","","immune system process; innate immune response","ZebraFinch","biomartGO"
"ENSTGUP00000008043","ENSTGUG00000007808","GLO1","glyoxalase I [Source:NCBI gene (formerly Entrezgene);Acc:100190661]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000008044","ENSTGUG00000007809","JMJD6","jumonji domain containing 6, arginine demethylase and lysine hydroxylase [Source:UniProtKB Gene Name;Acc:H0ZBT6]","T cell differentiation in thymus; macrophage activation","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000008058","ENSTGUG00000007825","HMCES","5-hydroxymethylcytosine binding, ES cell specific [Source:UniProtKB Gene Name;Acc:H0ZBV0]","somatic hypermutation of immunoglobulin genes","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000008088","ENSTGUG00000007818","ALOX5","arachidonate 5-lipoxygenase [Source:UniProtKB Gene Name;Acc:H0ZBY0]","leukocyte chemotaxis involved in inflammatory response","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000008124","ENSTGUG00000007879","GATA2","GATA binding protein 2 [Source:UniProtKB Gene Name;Acc:A0A674HES4]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000008132","ENSTGUG00000007893","DPEP1","dipeptidase 1 [Source:UniProtKB Gene Name;Acc:H0ZC24]","neutrophil chemotaxis","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000008135","ENSTGUG00000007900","SCG2","secretogranin II [Source:UniProtKB Gene Name;Acc:H0ZC27]","eosinophil chemotaxis","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000008149","ENSTGUG00000007880","AARS2","alanyl-tRNA synthetase 2, mitochondrial [Source:UniProtKB Gene Name;Acc:H0ZC41]","cGAS/STING signaling pathway","ZebraFinch","biomartGO"
"ENSTGUP00000008158","ENSTGUG00000007910","IKZF1","IKAROS family zinc finger 1 [Source:UniProtKB Gene Name;Acc:A0A674HKD1]","lymphocyte differentiation","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000008163","ENSTGUG00000007913","IL16","interleukin 16 [Source:UniProtKB Gene Name;Acc:H0ZC54]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000008169","ENSTGUG00000007913","IL16","interleukin 16 [Source:UniProtKB Gene Name;Acc:H0ZC54]","immune system process; leukocyte chemotaxis","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000008187","ENSTGUG00000007907","CTR9","CTR9 homolog, Paf1/RNA polymerase II complex component [Source:UniProtKB Gene Name;Acc:A0A674HEW5]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000008229","ENSTGUG00000023194","PRDX1","peroxiredoxin 1 [Source:NCBI gene (formerly Entrezgene);Acc:100190347]","erythrocyte homeostasis; natural killer cell activation","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000008235","ENSTGUG00000007970","FANCA","FA complementation group A [Source:UniProtKB Gene Name;Acc:H0ZCC5]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000008256","ENSTGUG00000008001","AMPD3","adenosine monophosphate deaminase 3 [Source:UniProtKB Gene Name;Acc:A0A674GYB3]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000008267","ENSTGUG00000008022","PODXL2","podocalyxin like 2 [Source:UniProtKB Gene Name;Acc:H0ZCF7]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000008285","ENSTGUG00000008023","CARD11","caspase recruitment domain family member 11 [Source:UniProtKB Gene Name;Acc:A0A674HED5]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000008290","ENSTGUG00000008039","KITLG","KIT ligand [Source:UniProtKB Gene Name;Acc:A0A674H8E4]","T cell proliferation; mast cell migration","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000008337","ENSTGUG00000008080","VEGFD","vascular endothelial growth factor D [Source:UniProtKB Gene Name;Acc:H0ZCM6]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000008361","ENSTGUG00000008082","GNAS","GNAS complex locus [Source:UniProtKB Gene Name;Acc:A0A674GMQ0]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000008370","ENSTGUG00000008108","SWAP70","switching B cell complex subunit SWAP70 [Source:UniProtKB Gene Name;Acc:A0A674HKH0]","isotype switching","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000008375","ENSTGUG00000008121","LFNG","LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase [Source:UniProtKB Gene Name;Acc:H0ZCR4]","T cell differentiation","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000008385","ENSTGUG00000008137","VEGFA","vascular endothelial growth factor A [Source:UniProtKB Gene Name;Acc:A0A674HBF7]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000008387","ENSTGUG00000008126","MOSPD2","motile sperm domain containing 2 [Source:NCBI gene (formerly Entrezgene);Acc:100230840]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000008388","ENSTGUG00000008092","TEC","tec protein tyrosine kinase [Source:UniProtKB Gene Name;Acc:A0A674HB39]","B cell receptor signaling pathway; adaptive immune response; immune system process","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000008414","ENSTGUG00000008163","","","antigen processing and presentation","ZebraFinch","biomartGO"
"ENSTGUP00000008444","ENSTGUG00000008169","","","antigen processing and presentation","ZebraFinch","biomartGO"
"ENSTGUP00000008449","ENSTGUG00000008186","MAD1L1","mitotic arrest deficient 1 like 1 [Source:UniProtKB Gene Name;Acc:A0A674G7C1]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000008467","ENSTGUG00000008189","IPO7","importin 7 [Source:UniProtKB Gene Name;Acc:A0A674HQ26]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000008492","ENSTGUG00000008241","TRIM47","tripartite motif containing 47 [Source:UniProtKB Gene Name;Acc:H0ZD31]","immune system process; innate immune response","ZebraFinch","biomartGO"
"ENSTGUP00000008496","ENSTGUG00000008250","TLR7","toll like receptor 7 [Source:UniProtKB Gene Name;Acc:A0A674HHC6]","activation of innate immune response; immune system process; innate immune response; toll-like receptor 7 signaling pathway; toll-like receptor signaling pathway","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000008522","ENSTGUG00000008268","UNC13D","unc-13 homolog D [Source:UniProtKB Gene Name;Acc:A0A674HPR7]","natural killer cell degranulation","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000008563","ENSTGUG00000008317","CH25H","cholesterol 25-hydroxylase [Source:UniProtKB Gene Name;Acc:H0ZDA2]","B cell chemotaxis","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000008574","ENSTGUG00000008285","AP1G1","adaptor related protein complex 1 subunit gamma 1 [Source:UniProtKB Gene Name;Acc:A0A674HSQ5]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000008584","ENSTGUG00000008335","AEN","apoptosis enhancing nuclease [Source:UniProtKB Gene Name;Acc:H0ZDC2]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000008646","ENSTGUG00000008389","LMO1","LIM domain only 1 [Source:NCBI gene (formerly Entrezgene);Acc:100190165]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000008657","ENSTGUG00000008395","TBX1","T-box transcription factor 1 [Source:UniProtKB Gene Name;Acc:H0ZDJ5]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000008759","ENSTGUG00000008382","ITGA6","integrin subunit alpha 6 [Source:UniProtKB Gene Name;Acc:H0ZDU7]","leukocyte migration","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000008795","ENSTGUG00000008535","FAM20C","FAM20C golgi associated secretory pathway kinase [Source:UniProtKB Gene Name;Acc:H0ZDY3]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000008796","ENSTGUG00000008542","TAL1","TAL bHLH transcription factor 1, erythroid differentiation factor [Source:UniProtKB Gene Name;Acc:A0A674GZ68]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000008806","ENSTGUG00000008522","SOX6","SRY-box transcription factor 6 [Source:UniProtKB Gene Name;Acc:H0ZDZ4]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000008810","ENSTGUG00000008487","NF1","neurofibromin 1 [Source:UniProtKB Gene Name;Acc:A0A674G8C9]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000008814","ENSTGUG00000008504","ADCY7","adenylate cyclase 7 [Source:UniProtKB Gene Name;Acc:H0ZE02]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000008883","ENSTGUG00000008614","SLC39A6","solute carrier family 39 member 6 [Source:UniProtKB Gene Name;Acc:H0ZE71]","T cell receptor signaling pathway; lymphocyte activation","ZebraFinch","biomartGO"
"ENSTGUP00000008899","ENSTGUG00000008612","GRB2","growth factor receptor bound protein 2 [Source:NCBI gene (formerly Entrezgene);Acc:100190285]","B cell receptor signaling pathway; T cell activation; T cell costimulation","ZebraFinch","biomartGO"
"ENSTGUP00000008940","ENSTGUG00000008604","NOS2","nitric oxide synthase 2 [Source:UniProtKB Gene Name;Acc:H0ZEC8]","Fc-gamma receptor signaling pathway involved in phagocytosis","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000008956","ENSTGUG00000008636","IGF1R","insulin like growth factor 1 receptor [Source:UniProtKB Gene Name;Acc:H0ZEE4]","immune response","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000008965","ENSTGUG00000008690","SP3","Sp3 transcription factor [Source:UniProtKB Gene Name;Acc:H0ZEF3]","B cell differentiation; T cell differentiation; natural killer cell differentiation","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000008982","ENSTGUG00000008703","NUP85","nucleoporin 85 [Source:UniProtKB Gene Name;Acc:A0A674H6C1]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000009011","ENSTGUG00000008751","JAGN1","jagunal homolog 1 [Source:NCBI gene (formerly Entrezgene);Acc:100190532]","neutrophil mediated immunity; neutrophil migration","ZebraFinch","biomartGO"
"ENSTGUP00000009013","ENSTGUG00000008756","IL17RC","interleukin 17 receptor C [Source:UniProtKB Gene Name;Acc:H0ZEK1]","granulocyte chemotaxis","ZebraFinch","biomartGO"
"ENSTGUP00000009050","ENSTGUG00000008788","EIF2AK2","eukaryotic translation initiation factor 2 alpha kinase 2 [Source:UniProtKB Gene Name;Acc:H0ZEN8]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000009059","ENSTGUG00000008778","PMS2","PMS1 homolog 2, mismatch repair system component [Source:UniProtKB Gene Name;Acc:H0ZEP7]","somatic hypermutation of immunoglobulin genes; somatic recombination of immunoglobulin gene segments","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000009062","ENSTGUG00000008793","UBE2K","ubiquitin conjugating enzyme E2 K [Source:UniProtKB Gene Name;Acc:A0A674HMY7]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000009064","ENSTGUG00000008782","PAFAH1B1","platelet activating factor acetylhydrolase 1b regulatory subunit 1 [Source:UniProtKB Gene Name;Acc:H0ZEQ2]","myeloid leukocyte migration","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000009087","ENSTGUG00000008807","EIF2AK1","eukaryotic translation initiation factor 2 alpha kinase 1 [Source:UniProtKB Gene Name;Acc:H0ZES5]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000009092","ENSTGUG00000008816","PLSCR1","phospholipid scramblase 1 [Source:UniProtKB Gene Name;Acc:A0A674G7Y0]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000009130","ENSTGUG00000008853","NR4A3","nuclear receptor subfamily 4 group A member 3 [Source:UniProtKB Gene Name;Acc:H0ZEW8]","mast cell degranulation; positive regulation of mast cell activation by Fc-epsilon receptor signaling pathway","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000009155","ENSTGUG00000008894","RAB3B","RAB3B, member RAS onco family [Source:UniProtKB Gene Name;Acc:H0ZEZ3]","antigen processing and presentation","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000009163","ENSTGUG00000008880","ATF2","activating transcription factor 2 [Source:UniProtKB Gene Name;Acc:H0ZF01]","NK T cell differentiation","ZebraFinch","biomartGO"
"ENSTGUP00000009169","ENSTGUG00000008859","ARHGEF7","Rho guanine nucleotide exchange factor 7 [Source:UniProtKB Gene Name;Acc:A0A674G9N6]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000009186","ENSTGUG00000008924","HHEX","hematopoietically expressed homeobox [Source:UniProtKB Gene Name;Acc:A0A674H9W6]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000009199","ENSTGUG00000008911","PREX1","phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1 [Source:UniProtKB Gene Name;Acc:A0A674GMS6]","T cell differentiation; neutrophil chemotaxis","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000009227","ENSTGUG00000008892","DLG1","discs large MAGUK scaffold protein 1 [Source:UniProtKB Gene Name;Acc:A0A674GB80]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000009245","ENSTGUG00000008951","IDE","insulin degrading enzyme [Source:UniProtKB Gene Name;Acc:A0A674GCY1]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000009262","ENSTGUG00000008977","NR1H4","nuclear receptor subfamily 1 group H member 4 [Source:UniProtKB Gene Name;Acc:H0ZFA0]","immune system process; innate immune response; toll-like receptor 9 signaling pathway","ZebraFinch","biomartGO"
"ENSTGUP00000009263","ENSTGUG00000008991","APOD","apolipoprotein D [Source:UniProtKB Gene Name;Acc:H0ZFA1]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000009283","ENSTGUG00000008980","IMPDH2","inosine monophosphate dehydrogenase 2 [Source:UniProtKB Gene Name;Acc:A0A674HGP7]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000009297","ENSTGUG00000009026","NFE2L2","NFE2 like bZIP transcription factor 2 [Source:UniProtKB Gene Name;Acc:H0ZFD5]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000009341","ENSTGUG00000009065","BLNK","B cell linker [Source:UniProtKB Gene Name;Acc:A0A674GFI0]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000009348","ENSTGUG00000009060","P4HTM","prolyl 4-hydroxylase, transmembrane [Source:UniProtKB Gene Name;Acc:H0ZFI6]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000009357","ENSTGUG00000009070","SLC8B1","solute carrier family 8 member B1 [Source:UniProtKB Gene Name;Acc:H0ZFJ5]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000009370","ENSTGUG00000023289","","tumor necrosis factor receptor superfamily member 26-like [Source:NCBI gene;Acc:100231625]","immune response","ZebraFinch","biomartGO"
"ENSTGUP00000009376","ENSTGUG00000009080","ARIH2","ariadne RBR E3 ubiquitin protein ligase 2 [Source:UniProtKB Gene Name;Acc:H0ZFL4]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000009410","ENSTGUG00000009134","HES1","hes family bHLH transcription factor 1 [Source:UniProtKB Gene Name;Acc:H0ZFP8]","T cell proliferation","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000009428","ENSTGUG00000009135","PCID2","PCI domain containing 2 [Source:UniProtKB Gene Name;Acc:H0ZFR6]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000009445","ENSTGUG00000009161","CNOT4","CCR4-NOT transcription complex subunit 4 [Source:UniProtKB Gene Name;Acc:H0ZFT3]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000009459","ENSTGUG00000009155","CUL4A","cullin 4A [Source:UniProtKB Gene Name;Acc:H0ZFU7]","T cell activation","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000009482","ENSTGUG00000009185","LAMP1","lysosomal associated membrane protein 1 [Source:UniProtKB Gene Name;Acc:H0ZFX0]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000009542","ENSTGUG00000009245","RBPJ","recombination signal binding protein for immunoglobulin kappa J region [Source:UniProtKB Gene Name;Acc:H0ZG30]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000009564","ENSTGUG00000009259","CD81","CD81 molecule [Source:UniProtKB Gene Name;Acc:A0A674GYL1]","CD4-positive, alpha-beta T cell costimulation; adaptive immune response; immune system process","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000009565","ENSTGUG00000009283","ASCL2","achaete-scute family bHLH transcription factor 2 [Source:UniProtKB Gene Name;Acc:H0ZG53]","T cell differentiation; T follicular helper cell differentiation","ZebraFinch","biomartGO"
"ENSTGUP00000009577","ENSTGUG00000009287","TSPAN32","tetraspanin 32 [Source:UniProtKB Gene Name;Acc:H0ZG65]","T cell proliferation","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000009618","ENSTGUG00000009330","IGF2","insulin like growth factor 2 [Source:NCBI gene (formerly Entrezgene);Acc:100218445]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000009636","ENSTGUG00000009321","GAS6","growth arrest specific 6 [Source:UniProtKB Gene Name;Acc:A0A674HNV2]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000009649","ENSTGUG00000009359","RAB35","RAB35, member RAS onco family [Source:UniProtKB Gene Name;Acc:A0A674H1G9]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000009682","ENSTGUG00000009363","MAP2K1","mitogen-activated protein kinase kinase 1 [Source:UniProtKB Gene Name;Acc:A0A674GBH1]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000009690","ENSTGUG00000009398","ENTPD7","ectonucleoside triphosphate diphosphohydrolase 7 [Source:UniProtKB Gene Name;Acc:H0ZGH8]","T-helper 17 cell differentiation","ZebraFinch","biomartGO"
"ENSTGUP00000009697","ENSTGUG00000009415","NKX2-3","NK2 homeobox 3 [Source:UniProtKB Gene Name;Acc:H0ZGI5]","B cell differentiation; CD4-positive, alpha-beta T cell differentiation; immune response; leukocyte homeostasis; leukocyte migration","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000009713","ENSTGUG00000009413","BCL6","BCL6 transcription repressor [Source:UniProtKB Gene Name;Acc:H0ZGK1]","B cell differentiation; T-helper 2 cell differentiation; isotype switching to IgE isotypes","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000009739","ENSTGUG00000009384","ITGA4","integrin subunit alpha 4 [Source:UniProtKB Gene Name;Acc:H0ZGM7]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000009751","ENSTGUG00000009467","SMAD6","SMAD family member 6 [Source:UniProtKB Gene Name;Acc:H0ZGN9]","immune response","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000009753","ENSTGUG00000009433","MASP1","MBL associated serine protease 1 [Source:UniProtKB Gene Name;Acc:H0ZGP1]","activation of membrane attack complex; complement activation; complement activation, lectin pathway; opsonization","ZebraFinch","biomartGO"
"ENSTGUP00000009758","ENSTGUG00000009465","STXBP4","syntaxin binding protein 4 [Source:UniProtKB Gene Name;Acc:H0ZGP5]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000009779","ENSTGUG00000009470","SMAD3","SMAD family member 3 [Source:UniProtKB Gene Name;Acc:A0A674GSK0]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000009809","ENSTGUG00000009503","TOLLIP","toll interacting protein [Source:UniProtKB Gene Name;Acc:A0A674GL99]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000009818","ENSTGUG00000009518","PLA2G1B","phospholipase A2 group IB [Source:UniProtKB Gene Name;Acc:H0ZGV5]","antibacterial humoral response; antimicrobial humoral immune response mediated by antimicrobial peptide; innate immune response in mucosa","ZebraFinch","biomartGO"
"ENSTGUP00000009825","ENSTGUG00000009535","LSM14A","LSM14A mRNA processing body assembly factor [Source:UniProtKB Gene Name;Acc:H0ZGW2]","RIG-I signaling pathway","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000009842","ENSTGUG00000009510","TFRC","transferrin receptor [Source:UniProtKB Gene Name;Acc:A0A674GYL2]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000009847","ENSTGUG00000009532","PDPK1","3-phosphoinositide dependent protein kinase 1 [Source:UniProtKB Gene Name;Acc:H0ZGY3]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000009852","ENSTGUG00000009563","CCR6","C-C motif chemokine receptor 6 [Source:UniProtKB Gene Name;Acc:H0ZGY8]","DN2 thymocyte differentiation; DN3 thymocyte differentiation; T cell migration; isotype switching to IgA isotypes; leukocyte migration involved in inflammatory response; lymphocyte migration; thymocyte migration","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000009881","ENSTGUG00000009572","GPI","glucose-6-phosphate isomerase [Source:UniProtKB Gene Name;Acc:H0ZH17]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000009886","ENSTGUG00000009595","FYB2","FYN binding protein 2 [Source:HGNC Symbol;Acc:HGNC:27295]","T cell receptor signaling pathway","ZebraFinch","biomartGO"
"ENSTGUP00000009905","ENSTGUG00000009598","C8A","complement C8 alpha chain [Source:UniProtKB Gene Name;Acc:H0ZH41]","complement activation; immune response","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000009917","ENSTGUG00000009575","SLIT2","slit guidance ligand 2 [Source:UniProtKB Gene Name;Acc:H0ZH52]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000009923","ENSTGUG00000009571","RANBP2","RAN binding protein 2 [Source:UniProtKB Gene Name;Acc:H0ZH58]","cytoplasmic pattern recognition receptor signaling pathway; toll-like receptor signaling pathway","ZebraFinch","biomartGO"
"ENSTGUP00000009932","ENSTGUG00000009617","C8B","complement C8 beta chain [Source:UniProtKB Gene Name;Acc:H0ZH67]","complement activation; immune response","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000009936","ENSTGUG00000009607","PIKFYVE","phosphoinositide kinase, FYVE-type zinc finger containing [Source:UniProtKB Gene Name;Acc:A0A674GD38]","neutrophil chemotaxis","ZebraFinch","biomartGO"
"ENSTGUP00000009962","ENSTGUG00000009651","SPPL3","signal peptide peptidase like 3 [Source:UniProtKB Gene Name;Acc:H0ZH97]","T cell receptor signaling pathway","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000009968","ENSTGUG00000009651","SPPL3","signal peptide peptidase like 3 [Source:UniProtKB Gene Name;Acc:H0ZH97]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000009970","ENSTGUG00000009633","MUC6","mucin 6, oligomeric mucus/gel-forming/pseudo [Source:UniProtKB Gene Name;Acc:A0A674HPF5]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000009979","ENSTGUG00000009663","MYSM1","Myb like, SWIRM and MPN domains 1 [Source:UniProtKB Gene Name;Acc:A0A674HI37]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000009991","ENSTGUG00000009693","JUN","Jun proto-onco, AP-1 transcription factor subunit [Source:UniProtKB Gene Name;Acc:H0ZHC6]","microglial cell activation","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000010060","ENSTGUG00000009749","PATZ1","POZ/BTB and AT hook containing zinc finger 1 [Source:UniProtKB Gene Name;Acc:H0ZHJ5]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000010068","ENSTGUG00000009756","CTLA4","cytotoxic T-lymphocyte associated protein 4 [Source:UniProtKB Gene Name;Acc:H0ZHK3]","B cell receptor signaling pathway; immune response","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000010073","ENSTGUG00000009766","ICOS","inducible T cell costimulator [Source:UniProtKB Gene Name;Acc:H0ZHK8]","T cell costimulation","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000010074","ENSTGUG00000009769","","TNF receptor superfamily member 13C [Source:HGNC Symbol;Acc:HGNC:17755]","B cell costimulation; T cell costimulation","ZebraFinch","biomartGO"
"ENSTGUP00000010077","ENSTGUG00000009768","BST1","bone marrow stromal cell antigen 1 [Source:UniProtKB Gene Name;Acc:H0ZHL2]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000010078","ENSTGUG00000009760","CD151","CD151 molecule (Raph blood group) [Source:UniProtKB Gene Name;Acc:H0ZHL3]","T cell proliferation","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000010098","ENSTGUG00000009780","DLL1","delta like canonical Notch ligand 1 [Source:UniProtKB Gene Name;Acc:H0ZHN3]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000010107","ENSTGUG00000009800","CKLF","chemokine like factor [Source:UniProtKB Gene Name;Acc:H0ZHP2]","lymphocyte chemotaxis; macrophage chemotaxis; neutrophil chemotaxis","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000010117","ENSTGUG00000009807","CCDC134","coiled-coil domain containing 134 [Source:NCBI gene (formerly Entrezgene);Acc:100190333]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000010145","ENSTGUG00000009833","TWSG1","twisted gastrulation BMP signaling modulator 1 [Source:UniProtKB Gene Name;Acc:H0ZHS9]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000010165","ENSTGUG00000009855","LDB1","LIM domain binding 1 [Source:UniProtKB Gene Name;Acc:A0A674G9H9]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000010166","ENSTGUG00000009847","MITF","melanocyte inducing transcription factor [Source:UniProtKB Gene Name;Acc:H0ZHV0]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000010167","ENSTGUG00000009856","IL18RAP","interleukin 18 receptor accessory protein [Source:UniProtKB Gene Name;Acc:H0ZHV1]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000010185","ENSTGUG00000009867","IL1RL1","interleukin 1 receptor like 1 [Source:UniProtKB Gene Name;Acc:H0ZHW9]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000010186","ENSTGUG00000009852","XRCC6","X-ray repair cross complementing 6 [Source:UniProtKB Gene Name;Acc:H0ZHX0]","activation of innate immune response; immune system process; innate immune response","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000010191","ENSTGUG00000009877","HRAS","HRas proto-onco, GTPase [Source:NCBI gene (formerly Entrezgene);Acc:100190361]","T cell receptor signaling pathway","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000010193","ENSTGUG00000009876","WDR1","WD repeat domain 1 [Source:UniProtKB Gene Name;Acc:H0ZHX7]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000010198","ENSTGUG00000009876","WDR1","WD repeat domain 1 [Source:UniProtKB Gene Name;Acc:H0ZHX7]","neutrophil mediated immunity; neutrophil migration","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000010205","ENSTGUG00000009889","RAB12","RAB12, member RAS onco family [Source:UniProtKB Gene Name;Acc:H0ZHY8]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000010216","ENSTGUG00000009901","POLR3H","RNA polymerase III subunit H [Source:UniProtKB Gene Name;Acc:H0ZHZ9]","immune system process; innate immune response","ZebraFinch","biomartGO"
"ENSTGUP00000010222","ENSTGUG00000009909","OTOP1","otopetrin 1 [Source:UniProtKB Gene Name;Acc:H0ZI05]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000010231","ENSTGUG00000009916","LYAR","Ly1 antibody reactive [Source:UniProtKB Gene Name;Acc:H0ZI14]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000010245","ENSTGUG00000009927","KMT5B","lysine methyltransferase 5B [Source:UniProtKB Gene Name;Acc:H0ZI28]","","ZebraFinch","AvianImmunome"
