ProteinID,GeneID,GeneSymbol,Description,GO_Terms,Species
ENSMUSP00000129831,ENSMUSG00000021408,Ripk1,receptor (TNFRSF)-interacting serine-threonine kinase 1 [Source:MGI Symbol;Acc:MGI:108212],ATP binding; JUN kinase kinase kinase activity; MAPK cascade; T cell apoptotic process; amyloid fibril formation; apoptotic process; canonical NF-kappaB signal transduction; cellular response to growth factor stimulus; cellular response to tumor necrosis factor; cytoplasm; death domain binding; death receptor binding; death-inducing signaling complex; extrinsic apoptotic signaling pathway; identical protein binding; inflammatory response; intracellular signal transduction; kinase activity; membrane; mitochondrion; necroptotic signaling pathway; negative regulation of apoptotic process; negative regulation of canonical NF-kappaB signal transduction; negative regulation of extrinsic apoptotic signaling pathway; negative regulation of extrinsic apoptotic signaling pathway in absence of ligand; negative regulation of necroptotic process; nucleotide binding; peptidyl-serine autophosphorylation; plasma membrane; positive regulation of JNK cascade; positive regulation of MAPK cascade; positive regulation of NF-kappaB transcription factor activity; positive regulation of apoptotic process; positive regulation of canonical NF-kappaB signal transduction; positive regulation of execution phase of apoptosis; positive regulation of extrinsic apoptotic signaling pathway; positive regulation of gene expression; positive regulation of inflammatory response; positive regulation of macrophage differentiation; positive regulation of miRNA processing; positive regulation of necroptotic process; positive regulation of neuron apoptotic process; positive regulation of non-canonical NF-kappaB signal transduction; positive regulation of phosphorylation; positive regulation of programmed cell death; positive regulation of programmed necrotic cell death; positive regulation of protein phosphorylation; positive regulation of transcription by RNA polymerase II; positive regulation of tumor necrosis factor-mediated signaling pathway; programmed cell death; programmed necrotic cell death; protein autophosphorylation; protein binding; protein catabolic process; protein homodimerization activity; protein kinase activity; protein phosphorylation; protein serine/threonine kinase activity; protein-containing complex; protein-containing complex binding; receptor complex; regulation of necroptotic process; regulation of reactive oxygen species metabolic process; response to oxidative stress; response to tumor necrosis factor; ripoptosome; ripoptosome assembly; ripoptosome assembly involved in necroptotic process; signal transduction; signaling adaptor activity; transferase activity; tumor necrosis factor-mediated signaling pathway; ubiquitin protein ligase binding,Mouse
ENSMUSP00000129848,ENSMUSG00000079227,Ccr5,C-C motif chemokine receptor 5 [Source:MGI Symbol;Acc:MGI:107182],,Mouse
ENSMUSP00000129862,ENSMUSG00000042306,S100a14,S100 calcium binding protein A14 [Source:MGI Symbol;Acc:MGI:1913416],,Mouse
ENSMUSP00000129964,ENSMUSG00000079563,Pglyrp2,peptidoglycan recognition protein 2 [Source:MGI Symbol;Acc:MGI:1928099],biological process involved in interaction with host; defense response to Gram-positive bacterium; defense response to bacterium; extracellular region; hydrolase activity; immune response; immune system process; membrane; metal ion binding; peptidoglycan binding; peptidoglycan catabolic process; regulation of inflammatory response; zinc ion binding,Mouse
ENSMUSP00000129972,ENSMUSG00000049130,C5ar1,complement component 5a receptor 1 [Source:MGI Symbol;Acc:MGI:88232],G protein-coupled receptor activity; G protein-coupled receptor signaling pathway; adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway; amyloid-beta clearance; apical part of cell; astrocyte activation; chemotaxis; cognition; complement component C5a receptor activity; complement component C5a signaling pathway; complement receptor activity; complement receptor mediated signaling pathway; cytoplasmic vesicle; defense response to Gram-positive bacterium; inflammatory response; mRNA transcription by RNA polymerase II; membrane; microglial cell activation; neutrophil chemotaxis; phospholipase C-activating G protein-coupled receptor signaling pathway; plasma membrane; positive regulation of angiogenesis; positive regulation of cytosolic calcium ion concentration; positive regulation of epithelial cell proliferation; positive regulation of immune system process; positive regulation of neutrophil chemotaxis; presynapse organization; response to peptidoglycan; signal transduction,Mouse
ENSMUSP00000130112,ENSMUSG00000049103,Ccr2,C-C motif chemokine receptor 2 [Source:MGI Symbol;Acc:MGI:106185],"C-C chemokine receptor activity; G protein-coupled receptor activity; G protein-coupled receptor signaling pathway; T-helper 17 cell chemotaxis; angiogenesis; apoptotic cell clearance; blood vessel remodeling; calcium-mediated signaling; cell chemotaxis; cellular defense response; cellular homeostasis; chemokine (C-C motif) ligand 12 binding; chemokine (C-C motif) ligand 2 binding; chemokine (C-C motif) ligand 5 binding; chemokine (C-C motif) ligand 7 binding; chemokine receptor activity; chemokine-mediated signaling pathway; chemotaxis; cytokine binding; cytoplasm; dendrite; hemopoiesis; homeostasis of number of cells within a tissue; humoral immune response; immune response; inflammatory response; inflammatory response to wounding; intracellular calcium ion homeostasis; leukocyte adhesion to vascular endothelial cell; macrophage migration; membrane; monocyte extravasation; negative regulation of angiogenesis; negative regulation of eosinophil degranulation; negative regulation of type 2 immune response; neuronal cell body; neutrophil clearance; perikaryon; perinuclear region of cytoplasm; plasma membrane; positive regulation of CD8-positive, alpha-beta T cell extravasation; positive regulation of T cell activation; positive regulation of T-helper 1 type immune response; positive regulation of alpha-beta T cell proliferation; positive regulation of astrocyte chemotaxis; positive regulation of cytosolic calcium ion concentration; positive regulation of hematopoietic stem cell migration; positive regulation of immune complex clearance by monocytes and macrophages; positive regulation of inflammatory response; positive regulation of leukocyte tethering or rolling; positive regulation of monocyte chemotaxis; positive regulation of monocyte extravasation; positive regulation of synaptic transmission, glutamatergic; positive regulation of thymocyte migration; protein binding; regulation of T cell cytokine production; regulation of T cell differentiation; regulation of T cell migration; regulation of inflammatory response; regulation of macrophage migration; regulation of mononuclear cell migration; regulation of vascular endothelial growth factor production; sensory perception of pain; signal transduction; wound healing involved in inflammatory response",Mouse
ENSMUSP00000130167,ENSMUSG00000006389,Mpl,myeloproliferative leukemia virus oncogene [Source:MGI Symbol;Acc:MGI:97076],membrane; protein binding,Mouse
ENSMUSP00000130189,ENSMUSG00000037321,Tap1,"transporter 1, ATP-binding cassette, sub-family B (MDR/TAP) [Source:MGI Symbol;Acc:MGI:98483]",ABC-type transporter activity; ATP binding; ATP hydrolysis activity; membrane; transmembrane transport,Mouse
ENSMUSP00000130282,ENSMUSG00000023015,Racgap1,Rac GTPase-activating protein 1 [Source:MGI Symbol;Acc:MGI:1349423],,Mouse
ENSMUSP00000130289,ENSMUSG00000019779,Frk,fyn-related kinase [Source:MGI Symbol;Acc:MGI:103265],ATP binding; cell differentiation; cell surface receptor protein tyrosine kinase signaling pathway; cytoplasm; kinase activity; non-membrane spanning protein tyrosine kinase activity; nucleotide binding; nucleus; plasma membrane; protein binding; protein kinase activity; protein phosphorylation; protein tyrosine kinase activity; signaling receptor binding; transferase activity,Mouse
ENSMUSP00000130336,ENSMUSG00000026288,Inpp5d,inositol polyphosphate-5-phosphatase D [Source:MGI Symbol;Acc:MGI:107357],,Mouse
ENSMUSP00000130398,ENSMUSG00000030149,Klrk1,"killer cell lectin-like receptor subfamily K, member 1 [Source:MGI Symbol;Acc:MGI:1196250]",adaptive immune response; carbohydrate binding; cell differentiation; defense response to other organism; immune system process; innate immune response; membrane; natural killer cell activation; plasma membrane; positive regulation of multicellular organismal process; positive regulation of natural killer cell mediated cytotoxicity; signal transduction; signaling receptor activity,Mouse
ENSMUSP00000130413,ENSMUSG00000002603,Tgfb1,"transforming growth factor, beta 1 [Source:MGI Symbol;Acc:MGI:98725]",,Mouse
ENSMUSP00000130424,ENSMUSG00000025701,Alox5,arachidonate 5-lipoxygenase [Source:MGI Symbol;Acc:MGI:87999],"cytoplasm; cytosol; dioxygenase activity; icosanoid metabolic process; iron ion binding; lipid metabolic process; lipid oxidation; long-chain fatty acid metabolic process; membrane; metal ion binding; oxidoreductase activity; oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen; protein binding",Mouse
ENSMUSP00000130471,ENSMUSG00000006932,Ctnnb1,catenin beta 1 [Source:MGI Symbol;Acc:MGI:88276],adherens junction; cadherin binding; cell adhesion; membrane,Mouse
ENSMUSP00000130487,ENSMUSG00000038058,Nod1,nucleotide-binding oligomerization domain containing 1 [Source:MGI Symbol;Acc:MGI:1341839],ATP binding; CARD domain binding; JNK cascade; apoptotic process; cytoplasm; defense response; defense response to Gram-negative bacterium; defense response to Gram-positive bacterium; defense response to bacterium; identical protein binding; immune system process; innate immune response; intracellular signal transduction; membrane; nucleotide binding; pattern recognition receptor activity; peptidoglycan binding; phagocytic vesicle; plasma membrane; positive regulation of JNK cascade; positive regulation of NF-kappaB transcription factor activity; positive regulation of autophagy; positive regulation of canonical NF-kappaB signal transduction; positive regulation of cytokine production; positive regulation of macrophage cytokine production; positive regulation of stress-activated MAPK cascade; positive regulation of xenophagy; protein binding; regulation of apoptotic process; response to endoplasmic reticulum stress; stress-activated MAPK cascade; ubiquitin binding,Mouse
ENSMUSP00000130495,ENSMUSG00000005686,Ampd3,adenosine monophosphate deaminase 3 [Source:MGI Symbol;Acc:MGI:1096344],ADP catabolic process; ADP metabolic process; AMP catabolic process; AMP deaminase activity; AMP metabolic process; ATP metabolic process; GTP metabolic process; IMP biosynthetic process; cytosol; deaminase activity; energy homeostasis; erythrocyte homeostasis; hydrolase activity; metal ion binding; nucleotide metabolic process; purine ribonucleoside monophosphate biosynthetic process,Mouse
