ProteinID,GeneID,GeneSymbol,Description,GO_Terms,Species
ENSMUSP00000000129,ENSMUSG00000000127,Fer,FER tyrosine kinase [Source:MGI Symbol;Acc:MGI:105917],ATP binding; Fc-epsilon receptor signaling pathway; Kit signaling pathway; Sertoli cell development; actin cytoskeleton; actin cytoskeleton organization; adherens junction; adherens junction assembly; anchoring junction; cell adhesion; cell cortex; cell junction; cell projection; cell-cell adhesion mediated by cadherin; cellular response to macrophage colony-stimulating factor stimulus; cellular response to reactive oxygen species; chemotaxis; chromatin; cytokine-mediated signaling pathway; cytoplasm; cytoplasmic side of plasma membrane; cytoskeleton; cytosol; diapedesis; epidermal growth factor receptor binding; extracellular matrix-cell signaling; germ cell development; insulin receptor signaling pathway; kinase activity; lamellipodium; lipid binding; membrane; microtubule cytoskeleton; microtubule cytoskeleton organization; negative regulation of mast cell activation involved in immune response; non-membrane spanning protein tyrosine kinase activity; nucleotide binding; nucleus; peptidyl-tyrosine phosphorylation; plasma membrane; platelet-derived growth factor receptor signaling pathway; positive regulation of NF-kappaB transcription factor activity; positive regulation of actin filament polymerization; positive regulation of cell migration; positive regulation of cell population proliferation; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction; protein binding; protein kinase activity; protein phosphatase 1 binding; protein phosphorylation; protein tyrosine kinase activity; protein-containing complex; regulation of epidermal growth factor receptor signaling pathway; regulation of protein phosphorylation; response to lipopolysaccharide; seminiferous tubule development; signal transduction; substrate adhesion-dependent cell spreading; transferase activity,Mouse
ENSMUSP00000000137,ENSMUSG00000020152,Actr2,actin related protein 2 [Source:MGI Symbol;Acc:MGI:1913963],ATP binding; Arp2/3 complex-mediated actin nucleation; Arp2/3 protein complex; actin binding; actin cap; actin cytoskeleton organization; actin filament binding; asymmetric cell division; cell cortex; cell projection; cellular response to type II interferon; cilium assembly; cytoplasm; cytoskeleton; cytosol; cytosolic transport; establishment or maintenance of cell polarity; meiotic cell cycle; meiotic chromosome movement towards spindle pole; meiotic cytokinesis; nucleotide binding; nucleus; positive regulation of double-strand break repair via homologous recombination; positive regulation of transcription by RNA polymerase II; protein binding; site of double-strand break; spindle localization; structural constituent of cytoskeleton,Mouse
ENSMUSP00000000161,ENSMUSG00000000157,Itgb2l,integrin beta 2-like [Source:MGI Symbol;Acc:MGI:1277979],amyloid-beta binding; cell adhesion mediated by integrin; cell-matrix adhesion; focal adhesion; inflammatory response; integrin binding; integrin complex; integrin-mediated signaling pathway; leukocyte cell-cell adhesion; membrane; neutrophil chemotaxis; plasma membrane; protein kinase binding; secretory granule,Mouse
ENSMUSP00000000193,ENSMUSG00000035385,Ccl2,C-C motif chemokine ligand 2 [Source:MGI Symbol;Acc:MGI:98259],"C-fiber; CCR chemokine receptor binding; CCR2 chemokine receptor binding; G protein-coupled receptor binding; angiogenesis; animal organ regeneration; antimicrobial humoral immune response mediated by antimicrobial peptide; astrocyte cell migration; axon terminus; cellular response to ATP; cellular response to estradiol stimulus; cellular response to fatty acid; cellular response to glucose stimulus; cellular response to high density lipoprotein particle stimulus; cellular response to interleukin-1; cellular response to interleukin-6; cellular response to lipopolysaccharide; cellular response to lipoprotein particle stimulus; cellular response to macrophage colony-stimulating factor stimulus; cellular response to retinoic acid; cellular response to tumor necrosis factor; cellular response to type II interferon; cellular response to xenobiotic stimulus; chemoattractant activity; chemokine (C-C motif) ligand 2 signaling pathway; chemokine activity; chemokine-mediated signaling pathway; chemotaxis; cytokine activity; cytokine-mediated signaling pathway; dendrite; endocytic vesicle; energy homeostasis; eosinophil chemotaxis; extracellular region; extracellular space; glial cell migration; helper T cell extravasation; heparin binding; immune response; inflammatory response; intracellular calcium ion homeostasis; leukocyte migration involved in inflammatory response; lymphocyte chemotaxis; macrophage chemotaxis; mammary gland involution; maternal process involved in female pregnancy; maternal process involved in parturition; monocyte homeostasis; negative regulation of angiogenesis; neuronal cell body; neutrophil chemotaxis; perikaryon; perinuclear region of cytoplasm; positive chemotaxis; positive regulation of T cell activation; positive regulation of apoptotic cell clearance; positive regulation of cell adhesion; positive regulation of cell migration; positive regulation of cell-cell adhesion; positive regulation of cellular extravasation; positive regulation of collagen biosynthetic process; positive regulation of endothelial cell proliferation; positive regulation of gene expression; positive regulation of glutamate receptor signaling pathway; positive regulation of immune complex clearance by monocytes and macrophages; positive regulation of leukocyte mediated cytotoxicity; positive regulation of leukocyte migration; positive regulation of monocyte chemotaxis; positive regulation of protein targeting to membrane; positive regulation of synaptic transmission; positive regulation of synaptic transmission, glutamatergic; positive regulation of wound healing; protein binding; regulation of vascular endothelial growth factor production; response to activity; response to amino acid; response to bacterium; response to cyclosporin A; response to ethanol; response to glucocorticoid; response to hypoxia; response to isolation stress; response to lipopolysaccharide; response to mechanical stimulus; response to progesterone; response to tumor necrosis factor; response to vitamin B3; response to wounding; response to xenobiotic stimulus; sensory perception of pain; transforming growth factor beta receptor signaling pathway; vascular endothelial growth factor receptor signaling pathway",Mouse
ENSMUSP00000000194,ENSMUSG00000035352,Ccl12,C-C motif chemokine ligand 12 [Source:MGI Symbol;Acc:MGI:108224],CCR chemokine receptor binding; CCR2 chemokine receptor binding; angiogenesis; antimicrobial humoral immune response mediated by antimicrobial peptide; cell chemotaxis; chemokine activity; chemokine-mediated signaling pathway; chemotaxis; cytokine activity; eosinophil chemotaxis; extracellular region; extracellular space; immune response; inflammatory response; positive regulation of cell migration; signal transduction,Mouse
ENSMUSP00000000284,ENSMUSG00000000275,Trim25,tripartite motif-containing 25 [Source:MGI Symbol;Acc:MGI:102749],cytoplasm; defense response to virus; immune system process; innate immune response; ligase activity; metal ion binding; nucleus; protein binding; transferase activity; zinc ion binding,Mouse
ENSMUSP00000000299,ENSMUSG00000000290,Itgb2,integrin beta 2 [Source:MGI Symbol;Acc:MGI:96611],cell adhesion; cell adhesion molecule binding; cell-cell adhesion; cellular extravasation; endothelial cell migration; integrin alphaM-beta2 complex; integrin-mediated signaling pathway; leukocyte activation; leukocyte cell-cell adhesion; leukocyte migration involved in inflammatory response; membrane; membrane raft; neutrophil chemotaxis; phagocytosis; plasma membrane; positive regulation of angiogenesis; positive regulation of nitric oxide biosynthetic process; protein-containing complex binding,Mouse
ENSMUSP00000000342,ENSMUSG00000020676,Ccl11,C-C motif chemokine ligand 11 [Source:MGI Symbol;Acc:MGI:103576],CCR chemokine receptor binding; CCR3 chemokine receptor binding; actin filament organization; antimicrobial humoral immune response mediated by antimicrobial peptide; branching involved in mammary gland duct morphogenesis; chemokine activity; chemokine-mediated signaling pathway; chemotaxis; cytokine activity; cytoskeleton organization; eosinophil chemotaxis; extracellular region; extracellular space; immune response; inflammatory response; learning or memory; mammary duct terminal end bud growth; negative regulation of neurogenesis; positive regulation of actin filament polymerization; positive regulation of angiogenesis; positive regulation of cell migration; positive regulation of endothelial cell proliferation; protein dimerization activity; receptor ligand activity; regulation of cell shape; response to interleukin-13; response to interleukin-4,Mouse
ENSMUSP00000000451,ENSMUSG00000000441,Raf1,v-raf-leukemia viral oncogene 1 [Source:MGI Symbol;Acc:MGI:97847],ATP binding; ERBB2-ERBB3 signaling pathway; Golgi apparatus; MAP kinase kinase kinase activity; MAPK cascade; Schwann cell development; cell differentiation; cytoplasm; cytosol; death-inducing signaling complex assembly; enzyme binding; face development; identical protein binding; insulin receptor signaling pathway; insulin secretion involved in cellular response to glucose stimulus; insulin-like growth factor receptor signaling pathway; intermediate filament cytoskeleton organization; intracellular glucose homeostasis; intracellular signal transduction; kinase activity; membrane; metal ion binding; mitochondrion; myelination; negative regulation of apoptotic process; negative regulation of cell population proliferation; negative regulation of extrinsic apoptotic signaling pathway via death domain receptors; negative regulation of protein-containing complex assembly; neurotrophin TRK receptor signaling pathway; nucleotide binding; nucleus; plasma membrane; positive regulation of MAPK cascade; positive regulation of transcription by RNA polymerase II; protein binding; protein kinase activity; protein phosphorylation; protein serine/threonine kinase activity; pseudopodium; response to muscle stretch; signal transduction; small GTPase binding; somatic stem cell population maintenance; thymus development; thyroid gland development; transferase activity; type B pancreatic cell proliferation; zinc ion binding,Mouse
ENSMUSP00000000727,ENSMUSG00000000711,Rab5b,"RAB5B, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:105938]",G protein activity; GDP binding; GTP binding; GTP-dependent protein binding; GTPase activity; antigen processing and presentation; early endosome; early endosome membrane; endocytic vesicle; endocytosis; endomembrane system; endosomal transport; endosome; endosome organization; hydrolase activity; intracellular protein transport; membrane; metal ion binding; nucleotide binding; plasma membrane; plasma membrane to endosome transport; protein binding; protein transport; regulation of endocytosis; synaptic vesicle membrane,Mouse
ENSMUSP00000000793,ENSMUSG00000000776,Polr3d,polymerase (RNA) III (DNA directed) polypeptide D [Source:MGI Symbol;Acc:MGI:1914315],DNA binding; DNA-directed RNA polymerase complex; RNA polymerase III complex; chromatin binding; defense response to virus; immune system process; innate immune response; nucleus; positive regulation of innate immune response; tRNA transcription by RNA polymerase III; transcription by RNA polymerase III,Mouse
ENSMUSP00000000804,ENSMUSG00000000787,Ddx3x,"DEAD box helicase 3, X-linked [Source:MGI Symbol;Acc:MGI:103064]",ATP binding; ATP hydrolysis activity; DNA binding; DNA helicase activity; NLRP3 inflammasome complex; P granule; RNA binding; RNA helicase activity; RNA stem-loop binding; apoptotic process; canonical inflammasome complex; cell differentiation; cell leading edge; cell projection; cellular response to arsenic-containing substance; cellular response to osmotic stress; centrosome; chromosome segregation; cytoplasm; cytosolic small ribosomal subunit; eukaryotic initiation factor 4E binding; eukaryotic translation initiation factor 3 complex; gamete generation; gamma-tubulin binding; glutamatergic synapse; helicase activity; hydrolase activity; immune system process; inflammatory response; innate immune response; intracellular signal transduction; intrinsic apoptotic signaling pathway; lamellipodium; lipid homeostasis; mRNA 5'-UTR binding; mRNA binding; membrane; negative regulation of apoptotic process; negative regulation of extrinsic apoptotic signaling pathway via death domain receptors; negative regulation of gene expression; negative regulation of intrinsic apoptotic signaling pathway; negative regulation of non-canonical NF-kappaB signal transduction; negative regulation of protein-containing complex assembly; negative regulation of translation; nucleic acid binding; nucleotide binding; nucleus; plasma membrane; poly(A) binding; positive regulation of G1/S transition of mitotic cell cycle; positive regulation of NLRP3 inflammasome complex assembly; positive regulation of apoptotic process; positive regulation of canonical Wnt signaling pathway; positive regulation of cell growth; positive regulation of non-canonical NF-kappaB signal transduction; positive regulation of protein K63-linked ubiquitination; positive regulation of toll-like receptor 7 signaling pathway; positive regulation of toll-like receptor 8 signaling pathway; positive regulation of transcription by RNA polymerase II; positive regulation of translation; positive regulation of translational initiation; postsynaptic density; primary miRNA binding; primary miRNA processing; protein binding; protein serine/threonine kinase activator activity; regulation of translation; response to virus; ribosomal small subunit binding; stress granule assembly; transcription factor binding; translation initiation factor binding,Mouse
ENSMUSP00000000808,ENSMUSG00000000791,Il12rb1,"interleukin 12 receptor, beta 1 [Source:MGI Symbol;Acc:MGI:104579]",cytokine binding; cytokine receptor activity; cytokine-mediated signaling pathway; interleukin-23 receptor complex; membrane; plasma membrane; positive regulation of cell population proliferation; protein binding; receptor complex,Mouse
ENSMUSP00000000834,ENSMUSG00000000817,Fasl,Fas ligand [Source:MGI Symbol;Acc:MGI:99255],T cell apoptotic process; apoptotic process; apoptotic signaling pathway; caveola; cellular response to type II interferon; cytokine activity; cytoplasm; cytoplasmic vesicle; cytoplasmic vesicle lumen; death receptor binding; endosomal lumen acidification; extracellular region; extracellular space; extrinsic apoptotic signaling pathway; immune response; inflammatory cell apoptotic process; intracellular chloride ion homeostasis; lysosomal lumen; lysosome; membrane; necroptotic signaling pathway; negative regulation of angiogenesis; negative regulation of transcription by RNA polymerase II; nucleus; perinuclear region of cytoplasm; plasma membrane; positive regulation of apoptotic process; positive regulation of canonical NF-kappaB signal transduction; positive regulation of cell population proliferation; positive regulation of endothelial cell apoptotic process; positive regulation of epidermal growth factor receptor signaling pathway; positive regulation of extrinsic apoptotic signaling pathway; positive regulation of neuron apoptotic process; positive regulation of phosphatidylserine exposure on apoptotic cell surface; protein binding; release of sequestered calcium ion into cytosol by endoplasmic reticulum; response to growth factor; response to lipopolysaccharide; retinal cell programmed cell death; tumor necrosis factor receptor binding,Mouse
ENSMUSP00000000889,ENSMUSG00000000869,Il4,interleukin 4 [Source:MGI Symbol;Acc:MGI:96556],B cell activation; B cell costimulation; MHC class II biosynthetic process; T cell proliferation; T-helper 2 cell differentiation; activated T cell proliferation; autophagy; cholesterol metabolic process; cytokine activity; cytokine receptor binding; defense response to protozoan; extracellular region; extracellular space; extrinsic apoptotic signaling pathway; extrinsic apoptotic signaling pathway in absence of ligand; growth factor activity; immune response; innate immune response in mucosa; interleukin-4 receptor binding; interleukin-4-mediated signaling pathway; isotype switching to IgE isotypes; isotype switching to IgG isotypes; leukocyte activation; negative regulation of T cell activation; negative regulation of T-helper 17 cell differentiation; negative regulation of extrinsic apoptotic signaling pathway; negative regulation of inflammatory response; negative regulation of leukocyte activation; negative regulation of osteoclast differentiation; positive regulation of ATP biosynthetic process; positive regulation of B cell activation; positive regulation of B cell chemotaxis; positive regulation of B cell proliferation; positive regulation of DNA-templated transcription; positive regulation of MHC class II biosynthetic process; positive regulation of T cell proliferation; positive regulation of amyloid-beta clearance; positive regulation of cellular respiration; positive regulation of chemokine production; positive regulation of gene expression; positive regulation of immunoglobulin production; positive regulation of isotype switching to IgE isotypes; positive regulation of isotype switching to IgG isotypes; positive regulation of leukocyte chemotaxis; positive regulation of macroautophagy; positive regulation of mast cell degranulation; positive regulation of mononuclear cell migration; positive regulation of myoblast fusion; positive regulation of receptor-mediated endocytosis; positive regulation of transcription by RNA polymerase II; regulation of immune response; regulation of primary metabolic process; response to selenium ion; transcription by RNA polymerase II,Mouse
ENSMUSP00000000926,ENSMUSG00000000903,Vpreb3,V-set pre-B cell surrogate light chain 3 [Source:MGI Symbol;Acc:MGI:98938],endoplasmic reticulum; molecular_function; negative regulation of immunoglobulin production,Mouse
ENSMUSP00000001008,ENSMUSG00000000982,Ccl3,C-C motif chemokine ligand 3 [Source:MGI Symbol;Acc:MGI:98260],CCR chemokine receptor binding; T cell chemotaxis; antimicrobial humoral immune response mediated by antimicrobial peptide; astrocyte cell migration; calcium ion transport; calcium-mediated signaling; cell activation; cell chemotaxis; cell-cell signaling; chemoattractant activity; chemokine activity; chemokine-mediated signaling pathway; chemotaxis; cytokine activity; cytoplasm; cytoskeleton organization; cytosol; eosinophil chemotaxis; eosinophil degranulation; exocytosis; extracellular region; extracellular space; granulocyte chemotaxis; immune response; inflammatory response; intracellular calcium ion homeostasis; kinase activity; leukocyte chemotaxis; lymphocyte chemotaxis; macrophage chemotaxis; negative regulation by host of viral transcription; negative regulation of gene expression; negative regulation of osteoclast differentiation; neutrophil chemotaxis; osteoblast differentiation; phospholipase activator activity; positive chemotaxis; positive regulation of calcium ion transport; positive regulation of calcium-mediated signaling; positive regulation of cell migration; positive regulation of cytosolic calcium ion concentration; positive regulation of gene expression; positive regulation of inflammatory response; positive regulation of natural killer cell chemotaxis; positive regulation of neuron apoptotic process; positive regulation of osteoclast differentiation; positive regulation of transcription by RNA polymerase II; protein binding; protein kinase activity; regulation of cell shape; regulation of programmed cell death; regulation of sensory perception of pain; release of sequestered calcium ion into cytosol by sarcoplasmic reticulum; response to cholesterol; response to toxic substance; response to xenobiotic stimulus; signal transduction; signaling,Mouse
ENSMUSP00000001009,ENSMUSG00000000983,Wfdc18,WAP four-disulfide core domain 18 [Source:MGI Symbol;Acc:MGI:107506],antibacterial humoral response; extracellular region; extracellular space; innate immune response; peptidase inhibitor activity; serine-type endopeptidase inhibitor activity,Mouse
ENSMUSP00000001036,ENSMUSG00000032175,Tyk2,tyrosine kinase 2 [Source:MGI Symbol;Acc:MGI:1929470],ATP binding; cytoskeleton; intracellular signal transduction; kinase activity; membrane; non-membrane spanning protein tyrosine kinase activity; nucleotide binding; protein kinase activity; protein phosphorylation; protein tyrosine kinase activity; regulation of T cell activation; regulation of leukocyte cell-cell adhesion; transferase activity,Mouse
ENSMUSP00000001055,ENSMUSG00000001029,Icam2,intercellular adhesion molecule 2 [Source:MGI Symbol;Acc:MGI:96394],cell adhesion; cell periphery; cell projection; cell-cell adhesion; integrin binding; membrane; microvillus; plasma membrane; protein binding; uropod,Mouse
ENSMUSP00000001156,ENSMUSG00000001128,Cfp,complement factor properdin [Source:MGI Symbol;Acc:MGI:97545],"complement activation; complement activation, alternative pathway; extracellular region; extracellular space; immune system process; innate immune response; positive regulation of complement activation, alternative pathway; positive regulation of immune response; positive regulation of opsonization; protein stabilization; secretory granule",Mouse
ENSMUSP00000001204,ENSMUSG00000001175,Calm1,calmodulin 1 [Source:MGI Symbol;Acc:MGI:88251],calcium ion binding; distal axon; establishment of localization in cell; metal ion binding; myelin sheath,Mouse
ENSMUSP00000001327,ENSMUSG00000001281,Itgb7,integrin beta 7 [Source:MGI Symbol;Acc:MGI:96616],T cell migration; cell adhesion; cell adhesion mediated by integrin; cell adhesion molecule binding; cell-cell adhesion; cell-matrix adhesion; cell-matrix adhesion involved in ameboidal cell migration; focal adhesion; heterotypic cell-cell adhesion; integrin alpha4-beta7 complex; integrin binding; integrin complex; integrin-mediated signaling pathway; leukocyte migration; leukocyte tethering or rolling; membrane; metal ion binding; plasma membrane; receptor clustering; receptor complex; substrate adhesion-dependent cell spreading,Mouse
ENSMUSP00000001402,ENSMUSG00000001366,Fbxo9,f-box protein 9 [Source:MGI Symbol;Acc:MGI:1918788],SCF ubiquitin ligase complex; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process; apoptotic process; cytoplasm; fat cell differentiation; innate immune response; positive regulation of epithelial cell apoptotic process; proteasome-mediated ubiquitin-dependent protein catabolic process; protein K48-linked ubiquitination; protein binding; protein ubiquitination; regulation of TOR signaling; ubiquitin-like ligase-substrate adaptor activity,Mouse
ENSMUSP00000001484,ENSMUSG00000001444,Tbx21,T-box 21 [Source:MGI Symbol;Acc:MGI:1888984],"DNA binding; DNA-binding transcription activator activity, RNA polymerase II-specific; DNA-binding transcription factor activity; DNA-binding transcription factor activity, RNA polymerase II-specific; DNA-binding transcription repressor activity, RNA polymerase II-specific; RNA polymerase II cis-regulatory region sequence-specific DNA binding; T cell differentiation; cell fate specification; chromatin; lymphocyte migration; negative regulation of DNA-templated transcription; negative regulation of T-helper 17 cell differentiation; negative regulation of T-helper 17 cell lineage commitment; negative regulation of T-helper 2 cell cytokine production; negative regulation of transcription by RNA polymerase II; neuronal cell body; nucleus; positive regulation of DNA-templated transcription; positive regulation of T-helper 1 cell cytokine production; positive regulation of gene expression; positive regulation of isotype switching to IgG isotypes; positive regulation of transcription by RNA polymerase II; proteasome-mediated ubiquitin-dependent protein catabolic process; protein binding; regulation of DNA-templated transcription; regulation of T cell differentiation; regulation of immune response; regulation of transcription by RNA polymerase II; response to virus; sequence-specific DNA binding; sequence-specific double-stranded DNA binding; transcription cis-regulatory region binding",Mouse
ENSMUSP00000001547,ENSMUSG00000001506,Col1a1,"collagen, type I, alpha 1 [Source:MGI Symbol;Acc:MGI:88467]",blood vessel development; bone trabecula formation; cartilage development involved in endochondral bone morphogenesis; cellular response to acetaldehyde; cellular response to amino acid stimulus; cellular response to epidermal growth factor stimulus; cellular response to fibroblast growth factor stimulus; cellular response to fluoride; cellular response to glucose stimulus; cellular response to mechanical stimulus; cellular response to retinoic acid; cellular response to tumor necrosis factor; cellular response to vitamin E; collagen biosynthetic process; collagen fibril organization; collagen trimer; collagen type I trimer; cytoplasm; embryonic skeletal system development; endochondral ossification; extracellular matrix; extracellular matrix structural constituent; extracellular matrix structural constituent conferring tensile strength; extracellular region; extracellular space; face morphogenesis; identical protein binding; intramembranous ossification; metal ion binding; negative regulation of cell-substrate adhesion; ossification; osteoblast differentiation; platelet-derived growth factor binding; positive regulation of DNA-templated transcription; positive regulation of canonical Wnt signaling pathway; positive regulation of cell migration; positive regulation of epithelial to mesenchymal transition; protease binding; protein binding; protein localization to nucleus; protein transport; response to cAMP; response to estradiol; response to fluoride; response to hyperoxia; response to mechanical stimulus; response to nutrient; response to nutrient levels; response to peptide hormone; response to steroid hormone; response to xenobiotic stimulus; secretory granule; sensory perception of sound; skeletal system development; skeletal system morphogenesis; skin development; skin morphogenesis; tooth mineralization; visual perception,Mouse
ENSMUSP00000001548,ENSMUSG00000001507,Itga3,integrin alpha 3 [Source:MGI Symbol;Acc:MGI:96602],Rho protein signal transduction; anchoring junction; cell adhesion; cell differentiation; cell periphery; cell projection; cell-cell adhesion; collagen binding; dendritic spine maintenance; excitatory synapse; exploration behavior; fibronectin binding; filopodium membrane; glutamatergic synapse; growth cone; growth cone filopodium; heart development; integrin alpha3-beta1 complex; integrin binding; integrin complex; integrin-mediated signaling pathway; laminin binding; leukocyte migration; lung development; maternal process involved in female pregnancy; membrane; memory; mesodermal cell differentiation; negative regulation of Rho protein signal transduction; negative regulation of cell projection organization; nephron development; neuromuscular junction; neuron migration; perinuclear region of cytoplasm; plasma membrane; positive regulation of cell-substrate adhesion; positive regulation of epithelial cell migration; positive regulation of gene expression; positive regulation of neuron projection development; positive regulation of protein localization to plasma membrane; postsynapse organization; postsynaptic membrane; presynaptic active zone membrane; protease binding; protein binding; protein domain specific binding; protein heterodimerization activity; protein-containing complex binding; receptor complex; regulation of BMP signaling pathway; regulation of Wnt signaling pathway; regulation of signal transduction; regulation of transforming growth factor beta receptor signaling pathway; renal filtration; response to gonadotropin; response to xenobiotic stimulus; signaling receptor activity; skin development; synapse; synaptic membrane; system development; system process,Mouse
ENSMUSP00000001652,ENSMUSG00000021070,Bdkrb2,"bradykinin receptor, beta 2 [Source:MGI Symbol;Acc:MGI:102845]",G protein-coupled receptor activity; G protein-coupled receptor signaling pathway; arachidonate secretion; bradykinin receptor activity; endosome; intrinsic apoptotic signaling pathway in response to osmotic stress by p53 class mediator; membrane; negative regulation of intrinsic apoptotic signaling pathway in response to osmotic stress; negative regulation of intrinsic apoptotic signaling pathway in response to osmotic stress by p53 class mediator; plasma membrane; protease binding; protein heterodimerization activity; response to salt stress; signal transduction; smooth muscle contraction; system process; type 1 angiotensin receptor binding; vasoconstriction; vasodilation,Mouse
ENSMUSP00000001780,ENSMUSG00000001729,Akt1,thymoma viral proto-oncogene 1 [Source:MGI Symbol;Acc:MGI:87986],"14-3-3 protein binding; ATP binding; Golgi to plasma membrane protein transport; Golgi to plasma membrane transport; NLS-bearing protein import into nucleus; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process; TORC1 signaling; TORC2 complex binding; activation-induced cell death of T cells; anaphase-promoting complex-dependent catabolic process; apoptotic mitochondrial changes; apoptotic process; behavioral response to pain; cGAS/STING signaling pathway; calcium import into the mitochondrion; calmodulin binding; cell migration; cell migration involved in sprouting angiogenesis; cell projection organization; cell-cell junction; cellular response to amino acid starvation; cellular response to calcium ion; cellular response to decreased oxygen levels; cellular response to epidermal growth factor stimulus; cellular response to granulocyte macrophage colony-stimulating factor stimulus; cellular response to growth factor stimulus; cellular response to nerve growth factor stimulus; cellular response to nutrient levels; cellular response to peptide; cellular response to prostaglandin E stimulus; cellular response to starvation; cellular response to tumor necrosis factor; cellular response to vascular endothelial growth factor stimulus; ciliary basal body; cilium; complement receptor mediated signaling pathway; cytoplasm; cytoplasmic translation; cytoskeleton organization; cytosol; endoplasmic reticulum to Golgi vesicle-mediated transport; epidermal growth factor receptor signaling pathway; establishment of protein localization to mitochondrion; execution phase of apoptosis; gene expression; germ cell development; gluconeogenesis; glucose homeostasis; glucose metabolic process; glutamatergic synapse; glycogen biosynthetic process; glycogen cell differentiation involved in embryonic placenta development; glycogen metabolic process; identical protein binding; inflammatory response; insulin receptor signaling pathway; insulin-like growth factor receptor signaling pathway; interleukin-18-mediated signaling pathway; intracellular signal transduction; kinase activity; kinase binding; labyrinthine layer blood vessel development; lipopolysaccharide-mediated signaling pathway; maintenance of protein location in mitochondrion; mammalian oogenesis stage; maternal placenta development; membrane; microtubule cytoskeleton; mitochondrial intermembrane space; mitochondrion; negative regulation of PERK-mediated unfolded protein response; negative regulation of TORC1 signaling; negative regulation of apoptotic process; negative regulation of autophagy; negative regulation of cGAS/STING signaling pathway; negative regulation of cell migration; negative regulation of cilium assembly; negative regulation of fatty acid beta-oxidation; negative regulation of gene expression; negative regulation of hydrogen peroxide-induced neuron intrinsic apoptotic signaling pathway; negative regulation of intrinsic apoptotic signaling pathway; negative regulation of leukocyte cell-cell adhesion; negative regulation of lymphocyte migration; negative regulation of protein localization to lysosome; negative regulation of protein ubiquitination; negative regulation of proteolysis; negative regulation of release of cytochrome c from mitochondria; negative regulation of toll-like receptor signaling pathway; negative regulation of translational initiation; nervous system development; nitric-oxide synthase regulator activity; nucleoplasm; nucleotide binding; nucleus; osteoblast differentiation; phosphatidylinositol 3-kinase/protein kinase B signal transduction; phosphatidylinositol-3,4,5-trisphosphate binding; phosphatidylinositol-3,4-bisphosphate binding; plasma membrane; positive regulation of D-glucose import; positive regulation of G1/S transition of mitotic cell cycle; positive regulation of TORC1 signaling; positive regulation of TORC2 signaling; positive regulation of anaphase-promoting complex-dependent catabolic process; positive regulation of blood vessel endothelial cell migration; positive regulation of cell growth; positive regulation of cell migration; positive regulation of cilium assembly; positive regulation of endothelial cell migration; positive regulation of endothelial cell proliferation; positive regulation of fat cell differentiation; positive regulation of gene expression; positive regulation of glucose metabolic process; positive regulation of lipid biosynthetic process; positive regulation of nitric oxide biosynthetic process; positive regulation of organ growth; positive regulation of proteasomal ubiquitin-dependent protein catabolic process; positive regulation of protein localization to cell surface; positive regulation of protein localization to endoplasmic reticulum; positive regulation of protein localization to nucleus; positive regulation of protein localization to plasma membrane; positive regulation of smooth muscle cell proliferation; positive regulation of sodium ion transport; positive regulation of toll-like receptor signaling pathway; positive regulation of transcription by RNA polymerase II; positive regulation of translational initiation; proteasome-mediated ubiquitin-dependent protein catabolic process; protein K11-linked ubiquitination; protein K29-linked ubiquitination; protein K6-linked ubiquitination; protein binding; protein catabolic process; protein homodimerization activity; protein import into nucleus; protein kinase activity; protein kinase binding; protein localization to cilium; protein localization to endoplasmic reticulum; protein maturation; protein phosphorylation; protein serine/threonine kinase activity; protein serine/threonine/tyrosine kinase activity; protein ubiquitination; protein-containing complex; regulation of apoptotic process; regulation of cell migration; regulation of glycogen biosynthetic process; regulation of myelination; regulation of neuron projection development; regulation of postsynapse organization; regulation of protein localization; regulation of translation; regulation of vesicle-mediated transport; response to fluid shear stress; response to food; response to growth factor; response to growth hormone; response to heat; response to hormone; response to insulin-like growth factor stimulus; response to oxidative stress; sphingosine-1-phosphate receptor signaling pathway; spindle; striated muscle cell differentiation; tRNA (guanine-N7)-methylation; toll-like receptor 4 signaling pathway; transferase activity; translational initiation; tricarboxylic acid metabolic process; ubiquitin-dependent protein catabolic process; vesicle",Mouse
ENSMUSP00000001792,ENSMUSG00000001741,Il16,interleukin 16 [Source:MGI Symbol;Acc:MGI:1270855],Flemming body; chemotaxis; cytokine activity; cytokine-mediated signaling pathway; cytoplasm; cytosol; extracellular matrix; extracellular region; extracellular space; focal adhesion; immune system process; induction of positive chemotaxis; leukocyte chemotaxis; nuclear speck; nucleus; plasma membrane; positive regulation of inflammatory response; protein binding; regulation of calcium ion transport; signaling receptor binding,Mouse
